key,PR
1743,0.058890246
104276,0.050740158
1752,0.050291846
40179,0.064542032
1790,0.075444409
15863,0.161655178
1792,0.03991591
1944,0.055583709
2042,0.051693832
1793,0.03991591
1990,0.049783926
1802,0.03991591
1932,0.041964754
1842,0.03991591
1710,0.044159176
1869,0.03991591
1845,0.065714741
1870,0.040176457
40022,0.059546691
1875,0.040227238
40131,0.043207441
1898,0.03991591
40168,0.041204521
1902,0.041204282
40156,0.054328777
1927,0.05979917
99926,0.093260152
1945,0.045623661
40024,0.049034594
1935,0.054632485
1954,0.077418741
105764,0.076041255
1964,0.041779619
40126,0.049410898
1965,0.046139432
1983,0.0464955
15989,0.040736526
1988,0.03991591
15754,0.041220731
2005,0.03991591
1720,0.04581844
2046,0.03991591
101342,0.047734875
2059,0.03991591
35494,0.057105374
1931,0.058719933
2061,0.040225196
1890,0.082988177
2067,0.03991591
1997,0.046918175
2085,0.03991591
15816,0.040928951
2098,0.03991591
40013,0.040223249
2108,0.03991591
40025,0.113438283
2133,0.03991591
1998,0.040447014
2134,0.03991591
1789,0.041741913
2177,0.03991591
46166,0.273193608
35382,0.088944991
35467,0.061711324
2179,0.047945726
15784,0.217516819
2167,0.049800032
2148,0.04234531
2168,0.041157598
2180,0.112409363
15857,0.197541927
46167,0.330008848
2181,0.03991591
1726,0.043877493
2182,0.042421931
15765,0.040234988
2184,0.043499773
10311,0.042833737
44516,0.049605408
40023,0.040359914
2190,0.049021424
2191,0.03991591
1739,0.04009714
2199,0.041938301
1724,0.04352227
10145,0.139845553
2202,0.050641914
35386,0.041159251
2205,0.03991591
1992,0.041158736
2207,0.059162359
44524,0.088450986
2219,0.03991591
1939,0.06394289
2222,0.041149143
44515,0.053296924
2223,0.043068626
2224,0.044066473
10077,0.080214958
44470,0.069598146
2226,0.040110148
44476,0.163618107
44464,0.066934732
1883,0.043667758
2228,0.071880713
2229,0.03991591
44500,0.063822947
35339,0.060712703
10054,0.048030669
2231,0.044349211
2232,0.064904136
2006,0.051665129
44485,0.182307011
2233,0.047490376
2235,0.040930854
107453,0.054323437
59800,0.127035584
2239,0.040299656
2241,0.040169742
122935,0.161395882
2252,0.044591466
24046,0.123722399
123018,0.40537117
2255,0.041537402
1952,0.04189023
2257,0.03991591
50161,0.041767693
1827,0.040183102
40037,0.040082564
40053,0.04091858
2356,0.048162302
40009,0.03991591
2258,0.03991591
40056,0.03991591
2260,0.03991591
1781,0.047471938
2261,0.03991591
39994,0.041478535
1960,0.071781994
2470,0.043115355
2262,0.041632846
2009,0.044476705
2265,0.043460443
40039,0.048787857
2267,0.03991591
1947,0.048201134
40001,0.040614953
2268,0.03991591
66414,0.051226412
2269,0.03991591
2126,0.056881497
2272,0.040251754
2273,0.03991591
1826,0.040193912
2278,0.047823391
2282,0.03991591
99884,0.042751085
2283,0.03991591
23511,0.063480645
1980,0.092634338
2289,0.03991591
15838,0.115531379
2291,0.03991591
2296,0.03991591
39996,0.071078435
2300,0.03991591
1962,0.03991591
2302,0.03991591
2304,0.040110716
1995,0.049412511
2306,0.03991591
15887,0.079288858
2307,0.03991591
23612,0.10285085
2313,0.03991591
1936,0.042999543
2314,0.03991591
2318,0.044541719
2326,0.042259537
59874,0.104364709
2327,0.043080449
1762,0.041323767
2332,0.041094605
1759,0.047200932
2333,0.058387595
10210,0.073802417
2340,0.063585446
99939,0.160034614
2343,0.03991591
40038,0.043997486
2350,0.040466346
1703,0.04467298
39997,0.047175292
2363,0.068739808
95828,0.055358756
2364,0.03991591
2368,0.052358012
99440,0.155940382
2374,0.041282225
65127,0.065357815
2375,0.071358678
23279,0.128119081
10047,0.169525742
23297,0.143673428
46205,0.114961452
2377,0.062814766
15854,0.175263482
2379,0.053957989
35394,0.167831217
35423,0.168217438
23170,0.33295853
23592,0.071513647
23921,0.207583164
2380,0.03991591
122837,0.054651226
2381,0.03991591
2387,0.03991591
40123,0.048883092
2391,0.03991591
40122,0.043632534
40098,0.04462533
