key,PR
1298,0.041818332
1300,0.042511635
1339,0.053864647
118470,0.040897696
1375,0.065730814
1377,0.043403467
1385,0.085439876
59630,0.050650815
1402,0.040289846
1574,0.051822761
1421,0.040289846
44376,0.04427495
1456,0.0495968
58984,0.047278928
1462,0.043702247
58934,0.059044449
1472,0.042701249
97347,0.118286155
1518,0.046805744
1519,0.047610338
1523,0.053938854
1526,0.07784926
1534,0.045199485
105309,0.061768268
1559,0.040565415
97384,0.054868359
1573,0.044557522
1577,0.048398605
1579,0.048359869
1580,0.044220415
105355,0.050933124
1595,0.068241581
1658,0.067833032
1610,0.040289846
1653,0.044569734
1617,0.040806998
88985,0.045851578
1623,0.041490489
35231,0.053748126
1641,0.040289846
1581,0.064395193
1649,0.040289846
35293,0.075128374
1652,0.040289846
1654,0.040289846
88820,0.065303713
1666,0.040289846
1697,0.040289846
35212,0.061245633
1708,0.076585603
1313,0.042961499
1710,0.044572978
1299,0.062945613
1711,0.040289846
1307,0.05231403
1718,0.040289846
1296,0.046863721
1720,0.046220623
44390,0.056722199
1721,0.040289846
22788,0.171370613
22802,0.051990888
1341,0.044481491
1722,0.040289846
1587,0.051274355
1726,0.044219656
1340,0.040289846
1727,0.040289846
1441,0.051068262
1728,0.043352242
87523,0.041020047
1729,0.042142685
58104,0.055439367
1730,0.040289846
1737,0.040289846
94391,0.044441124
46086,0.070277386
1742,0.040289846
1591,0.084313069
9915,0.091965657
1743,0.058850149
104276,0.050999316
1752,0.050423265
40179,0.064743348
1758,0.040710896
1603,0.040289846
1759,0.047534321
44423,0.097196586
35271,0.049076058
1767,0.040289846
105361,0.040959265
1770,0.040289846
58995,0.054107986
1771,0.040289846
9904,0.067759388
1774,0.040289846
9734,0.04135604
1777,0.040289846
35242,0.053303103
1784,0.040289846
9757,0.048702046
1785,0.053524351
9844,0.153771231
52739,0.092144203
9932,0.174464752
1787,0.040289846
97474,1.26502841
52674,0.14185304
1790,0.063473641
15863,0.115968041
1792,0.040289846
1944,0.055939792
2042,0.05217814
1555,0.049505334
1793,0.040289846
1990,0.050218019
1308,0.057878105
1798,0.040289846
1297,0.065391236
1802,0.040289846
1932,0.042355716
1806,0.040289846
15420,0.047325925
1807,0.040289846
1576,0.072421771
1822,0.040289846
1501,0.049473983
1838,0.040718517
50070,0.049035719
1328,0.070817879
1842,0.040289846
1849,0.040289846
1862,0.053434284
1482,0.05282175
1863,0.046070311
1358,0.18479057
88942,0.062598908
1864,0.040289846
9816,0.058036802
1869,0.040289846
1845,0.066124154
1870,0.04047166
40022,0.05990259
