,Unnamed: 0,key,PR
757,757,181,0.043784525
780,780,98377,0.05882825
782,782,98278,0.11189868
784,784,8726,0.08294163
794,794,41,0.04947586
802,802,55739,0.065821484
807,807,8719,0.118947
819,819,45486,0.05251955
827,827,8569,0.061069492
835,835,8576,0.06519805
846,846,59378,0.07460198
859,859,98349,0.04729397
862,862,8736,0.060185958
864,864,45411,0.06665976
871,871,100679,0.16518205
877,877,14270,0.12850858
880,880,45406,0.04103485
882,882,38910,0.04145678
886,886,14243,0.04869952
896,896,160,0.046367448
902,902,38980,0.07738043
906,906,38982,0.073121965
907,907,38995,0.043847606
926,926,38849,0.04436537
929,929,59377,0.04062217
934,934,93,0.048285365
935,935,39125,0.041285063999999996
943,943,104704,0.069702126
952,952,45414,0.05632453
963,963,45482,0.041771892000000005
965,965,14213,0.093072645
976,976,66198,0.04951102
978,978,39090,0.04216151
983,983,95045,0.075928755
989,989,19926,1.6727777
991,991,100669,0.26235846
1006,1006,1,0.047223467000000005
1007,1007,8560,0.045224685
1011,1011,8708,0.043451548
1037,1037,121708,0.06309129
1041,1041,8611,0.08044637
1048,1048,121630,0.23178868
1055,1055,87,0.05087345
1067,1067,14228,0.48626894
1072,1072,94083,0.04097513
1077,1077,121784,0.18691267
1083,1083,39024,0.06217944
1088,1088,177,0.042364676
1103,1103,105530,0.041200582
1107,1107,39064,0.05665880000000001
1117,1117,38875,0.04126845
1119,1119,105533,0.04161946
1135,1135,117,0.0414752
1155,1155,195,0.046885427
1163,1163,104035,0.04074145
1180,1180,14317,0.046739932000000005
1216,1216,20187,0.46790385
1226,1226,8678,0.12911981
1234,1234,95081,0.042562444000000005
1237,1237,38795,0.053369876
1242,1242,105535,0.043884084000000004
1271,1271,8572,0.05330631
1282,1282,121652,0.04448037
1285,1285,100636,0.69144833
1395,1395,98383,0.13783973
1427,1427,38893,0.041525234
1473,1473,8645,0.14644903
1498,1498,104692,0.04294892
1514,1514,101737,0.17585988
1516,1516,32,0.046284835999999996
1523,1523,8706,0.05607580400000001
1589,1589,20138,0.046232674
1590,1590,39127,0.041697484
1598,1598,45503,0.05893749400000001
1600,1600,14241,0.24520170000000002
1614,1614,94097,0.2394482
1622,1622,39069,0.04880833
1631,1631,83,0.040746886
1643,1643,95144,0.040717755
1680,1680,101773,0.0972183
1684,1684,121674,0.14917067
1786,1786,39092,0.04145902
1800,1800,8562,0.055694897
1801,1801,98325,0.10891221
1803,1803,20012,0.13745594
1804,1804,19921,0.16766001
1806,1806,43155,0.09554222
1807,1807,8582,0.05394028
1808,1808,8601,0.040415224
1809,1809,8633,0.04831263
1810,1810,8621,0.053172185999999996
1811,1811,8622,0.05309831
1812,1812,8624,0.044106897
1813,1813,59347,0.056757912
1814,1814,8625,0.04767206
1815,1815,20018,0.118860975
1816,1816,121596,0.20107776
1817,1817,100667,0.11001211
1818,1818,39039,0.054586525999999996
1819,1819,39034,0.04335546
1820,1820,8638,0.06869806
1821,1821,45379,0.13409054
1822,1822,20135,0.07166995
1824,1824,8639,0.043036707
1825,1825,106418,0.04307406
1826,1826,8641,0.040958706
1828,1828,43119,0.05333647
1829,1829,43137,0.04609332
1830,1830,8646,0.04880314
1831,1831,8647,0.04174594
1832,1832,8650,0.041451305
1833,1833,8662,0.04084491
1834,1834,20227,0.25867063
1835,1835,8668,0.04720111
1836,1836,43143,0.06050712
1837,1837,8669,0.07805912
1838,1838,59379,0.07074902
1839,1839,8670,0.041906495
1840,1840,19965,0.041241623
1841,1841,8671,0.041873123
1842,1842,98394,0.053785384000000006
1843,1843,8675,0.04243916599999999
1844,1844,98334,0.10018923
1845,1845,8677,0.05275673
1847,1847,8684,0.040415224
1848,1848,43144,0.050656423
1849,1849,8685,0.052557223
1850,1850,121628,0.05027618
1851,1851,20065,0.060191184
1852,1852,8690,0.11333103
1853,1853,43149,0.09407134
1854,1854,43140,0.065335214
1855,1855,8692,0.06623626
1856,1856,59390,0.05515830000000001
1857,1857,43150,0.04853025
1858,1858,8693,0.04694184
1859,1859,8695,0.04315731
1860,1860,8696,0.060579907
1861,1861,98393,0.06927124
