key,PR,paperYear
103804,0.038073811,2019
38557,0.038073811,2019
30703,0.038073811,2019
30903,0.038073811,2019
38048,0.038073811,2019
38449,0.038073811,2019
38462,0.038073811,2019
61105,0.038073811,2019
7636,0.038073811,2019
85121,0.038073811,2019
85141,0.038073811,2019
85460,0.038073811,2019
91842,0.038073811,2019
92335,0.038073811,2019
97208,0.038073811,2019
97216,0.038073811,2019
102438,0.038073811,2019
102447,0.038073811,2019
103809,0.038073811,2019
103836,0.038073811,2019
104323,0.038073811,2019
104373,0.038073811,2019
104383,0.038073811,2019
104394,0.038073811,2019
105284,0.038073811,2019
105893,0.038073811,2019
105899,0.038073811,2019
105900,0.038073811,2019
105928,0.038073811,2019
105959,0.038073811,2019
105976,0.038073811,2019
105984,0.038073811,2019
105985,0.038073811,2019
105997,0.038073811,2019
107558,0.038073811,2019
107572,0.038073811,2019
107604,0.038073811,2019
107606,0.038073811,2019
107626,0.038073811,2019
107636,0.038073811,2019
107659,0.038073811,2019
107716,0.038073811,2019
107721,0.038073811,2019
107763,0.038073811,2019
109478,0.038073811,2019
110697,0.038073811,2019
110704,0.038073811,2019
110733,0.038073811,2019
110749,0.038073811,2019
110753,0.038073811,2019
110754,0.038073811,2019
111469,0.038073811,2019
111507,0.038073811,2019
111509,0.038073811,2019
111514,0.038073811,2019
111516,0.038073811,2019
111530,0.038073811,2019
111537,0.038073811,2019
111599,0.038073811,2019
111603,0.038073811,2019
111645,0.038073811,2019
111651,0.038073811,2019
111679,0.038073811,2019
111685,0.038073811,2019
111710,0.038073811,2019
111750,0.038073811,2019
111759,0.038073811,2019
111790,0.038073811,2019
111870,0.038073811,2019
111900,0.038073811,2019
111915,0.038073811,2019
111929,0.038073811,2019
111962,0.038073811,2019
111981,0.038073811,2019
111987,0.038073811,2019
111993,0.038073811,2019
111996,0.038073811,2019
112007,0.038073811,2019
112016,0.038073811,2019
112026,0.038073811,2019
112080,0.038073811,2019
112117,0.038073811,2019
112132,0.038073811,2019
112140,0.038073811,2019
112157,0.038073811,2019
115365,0.038073811,2019
115396,0.038073811,2019
115423,0.038073811,2019
116719,0.038073811,2019
116731,0.038073811,2019
116733,0.038073811,2019
116748,0.038073811,2019
116754,0.038073811,2019
116755,0.038073811,2019
116770,0.038073811,2019
116785,0.038073811,2019
116786,0.038073811,2019
117478,0.038073811,2019
117489,0.038073811,2019
117529,0.038073811,2019
117539,0.038073811,2019
117548,0.038073811,2019
117560,0.038073811,2019
117565,0.038073811,2019
117573,0.038073811,2019
117599,0.038073811,2019
117610,0.038073811,2019
117622,0.038073811,2019
117628,0.038073811,2019
117642,0.038073811,2019
117647,0.038073811,2019
117671,0.038073811,2019
117672,0.038073811,2019
117685,0.038073811,2019
117692,0.038073811,2019
117693,0.038073811,2019
117721,0.038073811,2019
117753,0.038073811,2019
117773,0.038073811,2019
117780,0.038073811,2019
117783,0.038073811,2019
117785,0.038073811,2019
117802,0.038073811,2019
117805,0.038073811,2019
117810,0.038073811,2019
117850,0.038073811,2019
117901,0.038073811,2019
117908,0.038073811,2019
117914,0.038073811,2019
117945,0.038073811,2019
117959,0.038073811,2019
117963,0.038073811,2019
117965,0.038073811,2019
117974,0.038073811,2019
117985,0.038073811,2019
117990,0.038073811,2019
117994,0.038073811,2019
118008,0.038073811,2019
118028,0.038073811,2019
118035,0.038073811,2019
118064,0.038073811,2019
118089,0.038073811,2019
118184,0.038073811,2019
118185,0.038073811,2019
118201,0.038073811,2019
118218,0.038073811,2019
118230,0.038073811,2019
118236,0.038073811,2019
118238,0.038073811,2019
118239,0.038073811,2019
118242,0.038073811,2019
118251,0.038073811,2019
118266,0.038073811,2019
118304,0.038073811,2019
118312,0.038073811,2019
118319,0.038073811,2019
118342,0.038073811,2019
118364,0.038073811,2019
117559,0.038073811,2019
91871,0.038073811,2019
60877,0.038073811,2019
84858,0.038073811,2019
107705,0.038073811,2019
116761,0.038073811,2019
42482,0.038073811,2019
101452,0.038073811,2019
105878,0.038073811,2019
85352,0.038073811,2019
42548,0.038073811,2019
91936,0.038073811,2019
85287,0.038073811,2019
85301,0.038073811,2019
104387,0.038073811,2019
66088,0.038073811,2019
88137,0.038073811,2019
85401,0.038073811,2019
91877,0.038073811,2019
107717,0.038073811,2019
107746,0.038073811,2019
70653,0.038073811,2019
70605,0.038073811,2019
118130,0.038073811,2019
117933,0.038073811,2019
42575,0.038073811,2019
115223,0.038073811,2019
111620,0.038073811,2019
88016,0.038073811,2019
117696,0.038073811,2019
103820,0.038073811,2019
62896,0.038073811,2019
103821,0.038073811,2019
42637,0.038073811,2019
7296,0.038073811,2019
42171,0.038073811,2019
8126,0.038073811,2019
111920,0.038073811,2019
62958,0.038073811,2019
117570,0.038073811,2019
85234,0.038073811,2019
118224,0.038073811,2019
63052,0.038073811,2019
85171,0.038073811,2019
85229,0.038073811,2019
85196,0.038073811,2019
84854,0.038073811,2019
30737,0.038073811,2019
8258,0.038073811,2019
7408,0.038073811,2019
43106,0.038073811,2019
43949,0.038073811,2019
61512,0.038073811,2019
62897,0.038073811,2019
116708,0.038073811,2019
7674,0.038073811,2019
42306,0.038073811,2019
42447,0.038073811,2019
62909,0.038073811,2019
85394,0.038073811,2019
111659,0.038073811,2019
107651,0.038073811,2019
8502,0.038073811,2019
91763,0.038073811,2019
49274,0.038073811,2019
117605,0.038073811,2019
115334,0.038073811,2019
42135,0.038073811,2019
42587,0.038073811,2019
7263,0.038073811,2019
42961,0.038073811,2019
84876,0.038073811,2019
42760,0.038073811,2019
103846,0.038073811,2019
42743,0.038073811,2019
7284,0.038073811,2019
117543,0.038073811,2019
42723,0.038073811,2019
63160,0.038073811,2019
85143,0.038073811,2019
8366,0.038073811,2019
104338,0.038073811,2019
42771,0.038073811,2019
42874,0.038073811,2019
42889,0.038073811,2019
67080,0.038073811,2019
67143,0.038073811,2019
7450,0.038073811,2019
85316,0.038073811,2019
8498,0.038073811,2019
8503,0.038073811,2019
88073,0.038073811,2019
111582,0.038073811,2019
111833,0.038073811,2019
118248,0.038073811,2019
42962,0.038073811,2019
115235,0.038073811,2019
67066,0.038073811,2019
67138,0.038073811,2019
110716,0.038073811,2019
67100,0.038073811,2019
67134,0.038073811,2019
7552,0.038073811,2019
7575,0.038073811,2019
8361,0.038073811,2019
88098,0.038073811,2019
112091,0.038073811,2019
115183,0.038073811,2019
117616,0.038073811,2019
117619,0.038073811,2019
7687,0.038073811,2019
87982,0.038073811,2019
102361,0.038073811,2019
61090,0.038073811,2019
8499,0.038073811,2019
42882,0.038073811,2019
88079,0.038073811,2019
102340,0.038073811,2019
115185,0.038073811,2019
67092,0.038073811,2019
43020,0.038073811,2019
34437,0.038073811,2019
43973,0.038073811,2019
63030,0.038073811,2019
63188,0.038073811,2019
67057,0.038073811,2019
67079,0.038073811,2019
112084,0.038073811,2019
117712,0.038073811,2019
42466,0.038073811,2019
42834,0.038073811,2019
42877,0.038073811,2019
118138,0.038073811,2019
85248,0.038073811,2019
111622,0.038073811,2019
111797,0.038073811,2019
7628,0.038073811,2019
111636,0.038073811,2019
8349,0.038073811,2019
42357,0.038073811,2019
117531,0.038073811,2019
42214,0.038073811,2019
42210,0.038073811,2019
111632,0.038073811,2019
42410,0.038073811,2019
67120,0.038073811,2019
107547,0.038073811,2019
107565,0.038073811,2019
107704,0.038073811,2019
110756,0.038073811,2019
111573,0.038073811,2019
111610,0.038073811,2019
111613,0.038073811,2019
117995,0.038073811,2019
118169,0.038073811,2019
118193,0.038073811,2019
118202,0.038073811,2019
118231,0.038073811,2019
19286,0.038073811,2019
42226,0.038073811,2019
107648,0.038073811,2019
111640,0.038073811,2019
43013,0.038073811,2019
107568,0.038073811,2019
110760,0.038073811,2019
112042,0.038073811,2019
115220,0.038073811,2019
115411,0.038073811,2019
116715,0.038073811,2019
116734,0.038073811,2019
117818,0.038073811,2019
118038,0.038073811,2019
7930,0.038073811,2019
85324,0.038073811,2019
110741,0.038073811,2019
31115,0.038073811,2019
111542,0.038073811,2019
118265,0.038073811,2019
42187,0.038073811,2019
43883,0.038073811,2019
7620,0.038073811,2019
88043,0.038073811,2019
112129,0.038073811,2019
92277,0.038073811,2019
63156,0.038073811,2019
67126,0.038073811,2019
33073,0.038073811,2019
105896,0.038073811,2019
66119,0.038073811,2019
61104,0.038073811,2019
42645,0.038073811,2019
42655,0.038073811,2019
42822,0.038073811,2019
103841,0.038073811,2019
100103,0.038073811,2019
30597,0.038073811,2019
7851,0.038073811,2019
62918,0.038073811,2019
66139,0.038073811,2019
84875,0.038073811,2019
8486,0.038073811,2019
61518,0.038073811,2019
42624,0.038073811,2019
19822,0.038073811,2019
8414,0.038073811,2019
107629,0.038073811,2019
101460,0.038073811,2019
103845,0.038073811,2019
31140,0.038073811,2019
103815,0.038073811,2019
29335,0.038073811,2019
117499,0.038073811,2019
116799,0.038073811,2019
19828,0.038073811,2019
60935,0.038073811,2019
85067,0.038073811,2019
111590,0.038073811,2019
117592,0.038073811,2019
111637,0.038073811,2019
117913,0.038073811,2019
91843,0.038073811,2019
88058,0.038073811,2019
42950,0.038073811,2019
66173,0.038073811,2019
116779,0.038073811,2019
111931,0.038073811,2019
118366,0.038073811,2019
115200,0.038073811,2019
117795,0.038073811,2019
109479,0.038073811,2019
56278,0.038073811,2019
43104,0.038073811,2019
43962,0.038073811,2019
7864,0.038073811,2019
85347,0.038073811,2019
42365,0.038073811,2019
42484,0.038073811,2019
8250,0.038073811,2019
97285,0.038073811,2019
42238,0.038073811,2019
67148,0.038073811,2019
42823,0.038073811,2019
