,key,PR
0,2252,0.0443423
1,24046,0.12985975800000002
2,2257,0.039690763999999996
3,50161,0.041532289
4,2356,0.049969748
5,2261,0.039690763999999996
6,2470,0.051093230999999996
7,2268,0.039690763999999996
8,66414,0.050937689
9,2278,0.047810112
11,2326,0.04216543
12,59874,0.10764608
13,2368,0.052959115
15,2379,0.054087892
16,23921,0.248580733
17,2438,0.062707538
18,105869,0.041235806
19,2442,0.039690763999999996
22,2472,0.047192705
23,105306,0.040726253
24,2477,0.045713422000000004
25,2496,0.046091978
26,2490,0.056667594
27,2270,0.041497047
28,2491,0.043229758
29,2494,0.059402345999999995
30,2506,0.039836524
31,2507,0.039690763999999996
32,2528,0.039690763999999996
34,2533,0.042084169000000005
35,2179,0.047695022000000004
36,2542,0.039690763999999996
37,2549,0.039690763999999996
38,2580,0.039690763999999996
39,2583,0.039690763999999996
40,104253,0.041943901
41,2586,0.039690763999999996
42,59068,0.06575091799999999
44,50138,0.07232640900000001
45,2338,0.043150216
47,44614,0.07018976099999999
49,10442,0.051254109000000006
50,44568,0.040298132
51,50131,0.050441887000000005
53,50269,0.042017378
54,50157,0.04463907599999999
56,59952,0.072311515
57,44555,0.05594938
59,2334,0.042956209
61,24179,0.04869215599999999
63,2493,0.041491438
65,35602,0.053610251
67,2413,0.045940715
70,50175,0.061483697000000004
71,2393,0.04621350900000001
73,2487,0.056151547
75,53127,0.053699620999999996
76,24177,0.04319690599999999
78,50143,0.04153271
80,50156,0.047471447
83,35641,0.112107996
85,10627,0.04865205
87,46326,0.044723874000000004
88,16308,0.047799710999999995
90,35582,0.040103322999999996
92,16315,0.075172831
93,46298,0.069188033
94,46300,0.042970552999999995
97,74533,0.040505826
100,10681,0.042805638
102,35634,0.084583448
103,92033,0.040354674
104,99805,0.063114925
106,52998,0.07719263900000001
107,99833,0.135260453
108,2247,0.042657598
109,2498,0.039690763999999996
111,23933,0.124004887
113,23941,0.07553315599999999
116,44559,0.070949156
118,2544,0.040444137000000005
120,2211,0.045704492
121,2476,0.045460376
123,2227,0.04924734
125,50140,0.045980667999999995
127,2363,0.06901291400000001
130,50272,0.039991219
132,46332,0.074394961
133,57803,0.04497957
134,16289,0.060056911
136,2395,0.067596722
138,2365,0.040869647
140,10428,0.043044557000000004
141,35723,0.041127584
143,44612,0.050283965
145,2210,0.061828235999999995
148,74662,0.050262275999999995
150,35514,0.071003518
151,59913,0.055325594000000006
152,35581,0.068289745
154,50204,0.048091920999999996
156,59042,0.051684549
158,59038,0.041402338999999996
160,2319,0.039690763999999996
162,44578,0.039839818
167,10444,0.061461114000000004
168,35529,0.04836894
170,35519,0.073517501
171,44561,0.048220947
172,2228,0.072289003
175,2342,0.044113251
176,2265,0.043215250999999996
178,24069,0.07190661200000001
179,99766,0.06579101
181,2456,0.062143635999999995
183,104250,0.039778852999999996
185,24141,0.047019582000000004
187,16299,0.044568163
188,46291,0.043410101
190,16267,0.07450197900000001
192,16202,0.089299285
193,23823,0.048913467
194,50265,0.045513132000000005
196,44558,0.06877224700000001
200,50248,0.043388577000000005
203,16284,0.070121898
205,2423,0.039713179
207,10536,0.042365053
209,24064,0.082427978
210,35506,0.050030511
211,10408,0.049982470999999994
212,24044,0.075244231
214,2434,0.046922208
215,2441,0.042036134
218,2543,0.042161299000000006
220,23853,0.052778723
221,2195,0.065604678
222,99828,0.044278338
224,2515,0.054657297
227,2464,0.061936183
229,2198,0.040376816
231,46373,0.153923038
232,2240,0.039690763999999996
234,2400,0.045731909
237,2369,0.041203466
241,23968,0.082113192
244,35741,0.06819957
246,44622,0.066519286
248,2318,0.044290492
250,35600,0.094264187
257,50303,0.041106827
258,2328,0.045675195999999994
260,35708,0.048177616
263,2327,0.042837415
265,35615,0.052997655
270,59891,0.056813415
273,2289,0.039690763999999996
279,57856,0.092217727
281,10649,0.103534579
287,10572,0.093195374
289,35715,0.21537668399999998
290,46303,0.47808569
291,53334,0.045452118
293,99802,0.048084840999999996
295,44613,0.046350989
300,2232,0.06609307099999999
301,2233,0.047875127
306,59841,0.046804614
308,2224,0.043979835
314,105088,0.047311720999999994
317,105069,0.100113939
318,16311,0.060429179000000006
321,2323,0.051635491
323,99752,0.05591171
326,2473,0.057721429000000005
329,10489,0.051084347999999995
331,2281,0.045404427000000004
338,10664,0.051736465
340,23932,0.052101293
342,99674,0.045866613
344,96079,0.041876196
