,key,PR
0,1298,0.041818332
1,1300,0.042511635
2,1339,0.053864647
3,118470,0.040897696000000004
4,1375,0.065730814
5,1377,0.043403467
6,1385,0.085439876
7,59630,0.050650815
8,1402,0.040289846000000004
9,1574,0.051822760999999995
10,1421,0.040289846000000004
11,44376,0.04427495
12,1456,0.0495968
13,58984,0.047278928
14,1462,0.043702247
15,58934,0.059044449000000006
16,1472,0.042701249000000004
17,97347,0.118286155
18,1518,0.046805744
19,1519,0.047610337999999995
20,1523,0.053938854
21,1526,0.07784926
22,1534,0.045199485
24,1559,0.040565415
25,97384,0.054868359000000005
26,1573,0.044557522
27,1577,0.048398605
28,1579,0.04835986900000001
29,1580,0.044220415
30,105355,0.050933124
31,1595,0.068241581
32,1658,0.067833032
33,1610,0.040289846000000004
34,1653,0.04456973400000001
35,1617,0.040806998
36,88985,0.045851578
37,1623,0.041490489
38,35231,0.05374812599999999
39,1641,0.040289846000000004
40,1581,0.064395193
41,1649,0.040289846000000004
42,35293,0.075128374
43,1652,0.040289846000000004
44,1654,0.040289846000000004
45,88820,0.065303713
46,1666,0.040289846000000004
47,1697,0.040289846000000004
48,35212,0.061245633
50,1313,0.04296149900000001
52,1299,0.062945613
54,1307,0.05231403
56,1296,0.046863721
58,44390,0.056722199
60,22788,0.171370613
61,22802,0.051990888
62,1341,0.044481491
64,1587,0.051274355
66,1340,0.040289846000000004
68,1441,0.051068262
70,87523,0.041020047000000004
72,58104,0.055439367
75,94391,0.044441124000000005
76,46086,0.070277386
78,1591,0.084313069
79,9915,0.09196565699999999
85,1603,0.040289846000000004
87,44423,0.097196586
88,35271,0.049076058
90,105361,0.040959265
92,58995,0.054107986
94,9904,0.067759388
96,9734,0.04135604
98,35242,0.053303103
100,9757,0.048702046
102,9844,0.153771231
103,52739,0.09214420300000001
104,9932,0.174464752
106,97474,1.26502841
107,52674,0.14185304
113,1555,0.049505334000000005
116,1308,0.057878105
118,1297,0.06539123599999999
122,15420,0.047325925
124,1576,0.072421771
126,1501,0.049473983
128,50070,0.049035719000000005
129,1328,0.070817879
133,1482,0.05282175
135,1358,0.18479057
136,88942,0.062598908
138,9816,0.058036802
144,58933,0.056775909000000006
146,58974,0.053178768
148,58955,0.051490058
152,1458,0.065261935
153,58944,0.041856238
155,35249,0.04676737
157,58998,0.057733732
160,52767,0.06218969
162,44434,0.055034229000000004
164,44450,0.112915587
166,35275,0.084823885
168,9738,0.05574119
170,35214,0.04765458
172,1497,0.046360933
174,35254,0.07529185099999999
176,9940,0.041288819
178,22803,0.590273701
179,22606,0.127279971
183,59692,0.063506591
185,105226,0.147502032
187,1662,0.051962194
189,35178,0.08084637900000001
191,35196,0.04358784
193,46018,0.106049677
194,59590,0.04943146599999999
195,105224,0.121614759
197,44449,0.04630718599999999
199,35207,0.042247325999999995
201,97323,0.11441880000000001
203,52532,0.084606334
204,1329,0.048256183
205,52772,0.078172942
207,35308,0.25765383199999997
209,35238,0.045990855
210,35229,0.04126314
212,15324,0.067299477
213,15509,0.048146787
215,59583,0.050922099000000005
217,1503,0.041102176000000004
218,1478,0.0495529
219,22806,0.04494859
221,9998,0.104221996
222,9869,0.10078893900000001
223,35284,0.107901388
224,9926,0.13979455300000002
225,9735,0.06816465299999999
227,1471,0.041055896
229,9731,0.074972265
232,35310,0.08375551
234,1647,0.040781919
236,22585,0.08918362699999999
238,49882,0.05340174599999999
241,1553,0.049548392999999996
244,44440,0.041450843
249,1517,0.09643699900000001
252,1563,0.083092086
255,1459,0.04323561099999999
258,9828,0.08106226400000001
260,15394,0.043456071
262,88891,0.077939877
263,46066,0.04411636099999999
264,15351,0.114545077
266,46019,0.055555493
268,58381,0.044285853
269,15450,0.066314285
270,35230,0.052415078
272,46100,0.061611215
273,58125,0.054452702
275,15504,0.052442329
278,46035,0.041918783
280,58222,0.066927116
281,15308,0.043668794000000004
282,15544,0.04089083
284,15342,0.062727745
285,46014,0.064616254
290,1575,0.058326326
293,44366,0.041596935
294,9882,0.117317441
297,59598,0.110786281
299,1651,0.046845759
300,1655,0.044451892
302,22864,0.043952085
304,1539,0.045540487000000004
309,1381,0.041211267999999995
311,1562,0.04632565
312,1590,0.053669017
314,35218,0.040637664
316,58997,0.042112857999999996
318,97471,0.35744447700000004
319,22529,0.185124171
320,52684,0.19266008899999998
321,9781,0.09509965199999999
322,22731,0.05063273099999999
325,52722,0.084303799
327,97316,0.070927828
329,46055,0.047547268
331,61271,0.040289846000000004
333,1466,0.04803878
337,23049,0.041553089
341,15393,0.057957660999999994
342,46002,0.08438635900000001
344,22789,0.065639404
346,58300,0.052836883
349,15446,0.045985462000000005
351,88853,0.101313461
353,88974,0.090609569
354,46022,0.089820207
357,46087,0.058717653
369,1628,0.040923939
371,22536,0.215996838
373,58936,0.046656099000000006
376,22721,0.050101099999999996
377,88982,0.091436879
378,52696,0.057412263
380,88988,0.058696803
382,88971,0.052157438
385,35189,0.081014308
387,88857,0.045667060999999995
389,22960,0.050017606
391,15432,0.045501136
392,58198,0.042852514
396,44443,0.040651263
404,15392,0.072122304
407,15384,0.087147854
409,22792,0.052345929000000006
410,46024,0.053029335999999996
