key,PR
2597,0.047141294
44731,0.106045897
2599,0.094651729
2605,0.043614209
2604,0.066637603
2607,0.041445299
2617,0.080074266
35802,0.215930494
2648,0.049745352
99453,0.048768945
2649,0.047064146
59973,0.055109771
2662,0.041445299
35777,0.050314054
2689,0.041445299
81477,0.046985863
81310,0.044371958
2694,0.042556185
2716,0.060483058
110483,0.165307633
2723,0.041694437
2735,0.060427989
35763,0.065748025
2743,0.041445299
105848,0.047438298
2756,0.042945139
2747,0.042034972
2772,0.044616381
105037,0.047882658
2775,0.041445299
2782,0.049626565
2781,0.075369864
2790,0.041445299
89598,0.066787014
2815,0.043019807
2705,0.04531918
2834,0.041445299
2696,0.041445299
2835,0.041445299
2796,0.04972362
89485,0.060233342
2869,0.041445299
2878,0.041445299
2880,0.042869241
2884,0.041445299
60025,0.049648694
66439,0.044047775
2891,0.041445299
2894,0.041568563
2897,0.041445299
2686,0.041445299
2912,0.041445299
2922,0.041689436
60005,0.112414432
2927,0.041445299
2931,0.042737783
2909,0.055477183
16621,0.050628981
10947,0.656528685
46484,0.127472357
10720,0.570132547
10985,5.204951285
2748,0.068441772
24378,0.216976812
24812,0.062699606
11066,0.075208893
10812,0.051729034
10969,0.046858643
10805,0.049613255
35901,0.134579467
92050,0.09220677
35860,0.080749801
44685,0.123595511
99440,0.204136869
10769,0.079133439
99611,0.42200608
46535,0.045692036
10753,0.146123427
43457,0.126908175
24373,0.04718342
35866,0.043737407
35929,0.057879254
99634,0.101021069
46451,0.173729989
2666,0.049331879
11020,0.093845951
24476,0.087687331
10748,0.041847868
10764,0.090710518
31389,0.147438484
99438,0.433773791
2602,0.04266255
31565,0.363171924
11031,0.160231004
2651,0.07153104
2724,0.04730141
16660,0.057705945
10761,0.06497152
46522,1.714893962
16731,0.340984122
16778,0.092797512
107205,0.044054792
46580,0.044965323
46550,0.059573378
89473,0.060059128
31227,0.129687449
16757,0.08468865
46538,0.086129141
89437,0.088523117
89560,0.878015945
10721,0.160355272
10882,0.174020239
46477,0.042379831
16632,0.04711519
89688,0.061355152
46598,0.06697557
16813,0.072597391
46489,0.179132225
46528,0.353698352
16767,0.047084629
46490,0.288847575
35790,0.132787098
11007,0.181853831
35828,0.20824392
46463,0.046502106
99591,0.082070718
99521,0.045335666
10922,0.049817173
105060,0.041731518
31757,0.053166276
105034,0.055150767
2673,0.07259405
35896,0.048166971
10936,0.06651607
35841,0.04475317
11034,0.050166856
36026,0.045356245
35826,0.051205134
2624,0.041719593
35977,0.050003713
35898,0.053428122
55989,0.07971996
2693,0.051924609
35967,0.052366346
115087,0.059640071
35792,0.240302568
105035,0.071221499
35921,0.270305006
10881,0.054650306
10783,0.065364806
59969,0.129669278
35804,0.05166404
35756,0.07481053
10759,0.065504338
35890,0.043218266
35914,0.112634648
10886,0.075970058
35786,0.043421991
24674,0.112750431
31276,0.041850221
2685,0.060854372
31480,0.052406218
99478,0.41706873
31324,0.063491402
35751,0.078822413
35993,0.118480448
59968,0.052812391
35951,0.069025919
31507,0.118774482
35757,0.060101747
35892,0.062530073
35825,0.072249937
35772,0.126977966
59988,0.043552089
44721,0.043213814
35920,0.065106087
24568,0.120423108
10951,0.069299972
35864,0.042736595
2645,0.04275797
35750,0.120232413
35775,0.043933292
35788,0.08503584
2642,0.041596602
2664,0.055031266
10860,0.057787874
35854,0.110676067
10715,0.058490547
2706,0.043886974
2670,0.045493986
2668,0.04473801
44709,0.045922521
2885,0.068375985
59975,0.045331306
44703,0.091339742
44676,0.044850195
44702,0.044451188
35915,0.044134298
10926,0.06519355
105058,0.041503455
36005,0.046863583
35823,0.056594326
96303,0.041445299
96300,0.054839469
2615,0.048660229
24804,0.096139001
24808,0.096976913
93232,0.217009421
63667,0.041616945
65406,0.049904578
24456,0.051575176
2698,0.041692628
24477,0.046342554
99617,0.587641902
24395,0.041559987
68707,0.041998955
99592,0.049144117
31273,0.050761113
24689,0.093271395
31637,0.041607552
24376,0.05765441
24405,0.067498311
31251,0.052214967
2701,0.042180082
2661,0.042898307
63654,0.04497251
24693,0.041717961
2762,0.047046766
99508,0.278773437
2703,0.058147558
65269,0.04839453
2805,0.042833393
2596,0.099697973
2612,0.054426322
89524,0.047292439
2803,0.059634895
2707,0.054039512
68609,0.043034725
46461,0.051941253
24494,0.049608352
24503,0.089018182
2774,0.051135753
2776,0.069473563
2771,0.043112173
10741,0.041671899
2738,0.041993635
105032,0.041987705
2725,0.090351208
2761,0.067349533
43476,0.065317048
2718,0.048450378
2916,0.04223951
89612,0.042223625
35806,0.058760886
2695,0.054348514
65364,0.04426484
10917,0.183608807
35819,0.049661394
36030,0.118135881
2887,0.04192638
89561,0.300230809
44722,0.043008605
89720,0.051436245
89709,0.057068415
2616,0.048584622
10756,0.097815679
31588,0.141537262
35836,0.058678392
16475,0.047535701
89502,0.118398947
59999,0.049177687
46506,0.04534227
10773,0.079429017
89459,0.05265963
16931,0.071364826
24501,0.049002101
24619,0.068061826
24703,0.048062928
2598,0.043679283
2715,0.041555432
2910,0.042435794
2681,0.043026006
101206,0.050601897
31268,0.154792659
35998,0.047607364
59982,0.153270493
10856,0.11828376
89556,0.044845848
16618,0.056919509
31235,0.128898451
35887,0.409497756
35922,0.073902957
44687,0.055183951
10874,0.046169487
2637,0.043169033
35917,0.090335602
31649,0.069488833
35824,0.080824559
65265,0.061929387
2740,0.04437781
105830,0.069601271
108930,0.046572097
105854,0.051589408
31395,0.175041722
89472,0.054229336
16794,0.044079687
16653,0.150472639
89491,0.042031666
16847,0.049106871
16607,0.089184744
16649,0.055965875
46601,0.05890336
89540,0.098868429
16736,0.042762728
16674,0.101278831
89542,0.335927526
2746,0.046978757
46454,0.054097668
46515,0.056498028
46460,0.076539866
16759,0.06686393
89456,0.046275967
16735,0.077228043
44680,0.336784036
46558,0.2021663
46571,0.058497227
10864,0.357184427
31410,0.114563398
24669,0.085472553
31479,0.083906871
89483,0.061404389
89795,0.422892447
16744,0.042837516
46537,0.088870104
16739,0.04330695
46573,0.064277211
16764,0.070180469
89504,0.516891595
16622,0.071835918
16666,0.053565797
112239,0.043486435
46480,0.041445299
16683,0.05379527
16695,0.060694151
16698,0.048277792
94647,0.399019098
35873,0.056825692
92069,0.042512586
35855,0.067933843
43462,0.061161384
31485,0.091020666
31506,0.065116485
24699,0.075377913
2652,0.054832835
44726,0.050101011
31435,0.051011235
31587,0.102900545
35869,0.094756106
35978,0.063635062
105015,0.053878307
2674,0.041532299
24667,0.04432179
31654,0.053892701
60022,0.045496566
35871,0.047894929
35966,0.051889122
46602,0.065838677
2801,0.043417831
44697,0.049771479
24756,0.066623488
43447,0.096241746
11027,0.056751147
11002,0.655013339
59974,0.060138199
10816,0.115231796
35846,0.042149798
35816,0.065860786
35990,0.044352349
10943,0.058507173
101210,0.04243273
35936,0.075504917
10838,0.07079734
35861,0.043054261
68561,0.056301191
35943,0.051004458
81369,0.042564053
10801,0.042654049
35923,0.042542751
