key,paperYear,PR
103804,2019,0.039353253
38557,2019,0.039353253
30703,2019,0.039353253
30903,2019,0.039353253
38048,2019,0.039353253
38449,2019,0.039353253
38462,2019,0.039353253
61105,2019,0.039353253
7636,2019,0.039353253
85121,2019,0.039353253
85141,2019,0.039353253
85460,2019,0.039353253
91842,2019,0.039353253
92335,2019,0.039353253
97208,2019,0.039353253
97216,2019,0.039353253
102438,2019,0.039353253
102447,2019,0.039353253
103809,2019,0.039353253
103836,2019,0.039353253
104323,2019,0.039353253
104373,2019,0.039353253
104383,2019,0.039353253
104394,2019,0.039353253
105284,2019,0.039353253
105893,2019,0.039353253
105899,2019,0.039353253
105900,2019,0.039353253
105928,2019,0.039353253
105959,2019,0.039353253
105976,2019,0.039353253
105984,2019,0.039353253
105985,2019,0.039353253
105997,2019,0.039353253
107558,2019,0.039353253
107572,2019,0.039353253
107604,2019,0.039353253
107606,2019,0.039353253
107626,2019,0.039353253
107636,2019,0.039353253
107659,2019,0.039353253
107716,2019,0.039353253
107721,2019,0.039353253
107763,2019,0.039353253
109478,2019,0.039353253
110697,2019,0.039353253
110704,2019,0.039353253
110733,2019,0.039353253
110749,2019,0.039353253
110753,2019,0.039353253
110754,2019,0.039353253
111469,2019,0.039353253
111507,2019,0.039353253
111509,2019,0.039353253
111514,2019,0.039353253
111516,2019,0.039353253
111530,2019,0.039353253
111537,2019,0.039353253
111599,2019,0.039353253
111603,2019,0.039353253
111645,2019,0.039353253
111651,2019,0.039353253
111679,2019,0.039353253
111685,2019,0.039353253
111710,2019,0.039353253
111750,2019,0.039353253
111759,2019,0.039353253
111790,2019,0.039353253
111870,2019,0.039353253
111900,2019,0.039353253
111915,2019,0.039353253
111929,2019,0.039353253
111962,2019,0.039353253
111981,2019,0.039353253
111987,2019,0.039353253
111993,2019,0.039353253
111996,2019,0.039353253
112007,2019,0.039353253
112016,2019,0.039353253
112026,2019,0.039353253
112080,2019,0.039353253
112117,2019,0.039353253
112132,2019,0.039353253
112140,2019,0.039353253
112157,2019,0.039353253
115365,2019,0.039353253
115396,2019,0.039353253
115423,2019,0.039353253
116719,2019,0.039353253
116731,2019,0.039353253
116733,2019,0.039353253
116748,2019,0.039353253
116754,2019,0.039353253
116755,2019,0.039353253
116770,2019,0.039353253
116785,2019,0.039353253
116786,2019,0.039353253
117478,2019,0.039353253
117489,2019,0.039353253
117529,2019,0.039353253
117539,2019,0.039353253
117548,2019,0.039353253
117560,2019,0.039353253
117565,2019,0.039353253
117573,2019,0.039353253
117599,2019,0.039353253
117610,2019,0.039353253
117622,2019,0.039353253
117628,2019,0.039353253
117642,2019,0.039353253
117647,2019,0.039353253
117671,2019,0.039353253
117672,2019,0.039353253
117685,2019,0.039353253
117692,2019,0.039353253
117693,2019,0.039353253
117721,2019,0.039353253
117753,2019,0.039353253
117773,2019,0.039353253
117780,2019,0.039353253
117783,2019,0.039353253
117785,2019,0.039353253
117802,2019,0.039353253
117805,2019,0.039353253
117810,2019,0.039353253
117850,2019,0.039353253
117901,2019,0.039353253
117908,2019,0.039353253
117914,2019,0.039353253
117945,2019,0.039353253
117959,2019,0.039353253
117963,2019,0.039353253
117965,2019,0.039353253
117974,2019,0.039353253
117985,2019,0.039353253
117990,2019,0.039353253
117994,2019,0.039353253
118008,2019,0.039353253
118028,2019,0.039353253
118035,2019,0.039353253
118064,2019,0.039353253
118089,2019,0.039353253
118184,2019,0.039353253
118185,2019,0.039353253
118201,2019,0.039353253
118218,2019,0.039353253
118230,2019,0.039353253
118236,2019,0.039353253
118238,2019,0.039353253
118239,2019,0.039353253
118242,2019,0.039353253
118251,2019,0.039353253
118266,2019,0.039353253
118304,2019,0.039353253
118312,2019,0.039353253
118319,2019,0.039353253
118342,2019,0.039353253
118364,2019,0.039353253
117559,2019,0.039353253
91871,2019,0.039353253
60877,2019,0.039353253
84858,2019,0.039353253
107705,2019,0.039353253
116761,2019,0.039353253
42482,2019,0.039353253
101452,2019,0.039353253
105878,2019,0.039353253
85352,2019,0.039353253
42548,2019,0.039353253
91936,2019,0.039353253
85287,2019,0.039353253
85301,2019,0.039353253
104387,2019,0.039353253
66088,2019,0.039353253
88137,2019,0.039353253
85401,2019,0.039353253
91877,2019,0.039353253
107717,2019,0.039353253
107746,2019,0.039353253
