key,PR
248,0.044078299
58847,0.044078299
254,0.044078299
58844,0.11033477
269,0.073541195
34583,0.055326996
271,0.096642668
88304,0.077935316
276,0.062585133
58824,0.069327077
279,0.044078299
88306,0.046384412
289,0.060920398
101677,0.06835565
304,0.044078299
310,0.047641599
49509,0.044078299
332,0.131322232
104625,0.528690039
337,0.121639802
343,0.044078299
101691,0.070219936
344,0.044078299
34573,0.047131161
361,0.044315218
105497,0.075692612
365,0.044448592
381,0.045412798
387,0.055982335
393,0.052823142
58856,0.048416297
403,0.044078299
402,0.047145278
444,0.059412984
34655,0.048226725
453,0.044078299
454,0.061349346
49519,0.05119513
456,0.132779631
44139,0.061441177
472,0.046524225
477,0.044078299
100619,0.164102741
478,0.044078299
104671,0.044078299
487,0.044078299
88299,0.200406726
498,0.051517672
558,0.044078299
561,0.044078299
101632,0.052716401
583,0.044078299
20234,0.148062788
366,0.061399166
105514,0.088643035
49507,0.057937969
44128,0.0490163
426,0.05650314
427,0.053397005
433,0.045303435
413,0.046097133
8892,0.062341422
445,0.052380181
49466,0.049847848
44101,0.056254885
44107,0.046203338
455,0.045725351
44099,0.079578321
34564,0.082033257
258,0.045618131
49553,0.051518736
88318,0.081043534
281,0.084407163
268,0.080079161
14457,0.172041339
20333,0.054032314
20552,0.049617695
273,0.044740246
294,0.047941869
296,0.05834418
300,0.044954727
49469,0.045163306
49462,0.048953284
49464,0.047008046
49472,0.046948783
250,0.066731151
441,0.046640494
49475,0.049068293
331,0.04483442
326,0.049653086
58825,0.067073802
58839,0.054097494
375,0.055879419
49483,0.051981609
305,0.047026099
58813,0.045682216
44104,0.073733215
77331,0.047361246
328,0.05273691
34569,0.141436549
34671,0.07539671
457,0.054669496
101724,0.091354197
34608,0.094160272
8868,0.065942539
34598,0.046619857
334,0.04433548
49541,0.055901145
8888,0.082897961
8859,0.044757571
363,0.06417332
371,0.04499629
380,0.047574502
8794,0.044621971
105517,0.050346164
20607,0.051778556
14475,0.067132754
14476,0.058354853
14497,0.06430774
88350,0.047945803
14420,0.077315406
391,0.070334187
88378,0.053479337
397,0.045346564
398,0.045346564
58832,0.057014114
98228,0.066517249
423,0.08629055
71674,0.045388067
8939,0.091045962
34630,0.072788442
14544,0.11342787
88324,0.086033926
14501,0.301318125
103995,0.053671714
316,0.071297266
8919,0.149058626
20527,0.17635046
20235,0.097563092
8931,0.111140531
8944,0.11348099
45553,0.050094145
14414,0.093867408
321,0.1268892
34555,0.085444838
450,0.054257039
14500,0.069275256
339,0.063915158
532,0.054721063
20599,0.489396666
541,0.058140603
43166,0.050081573
249,0.083619447
58818,0.044252278
236,0.061873836
58846,0.083579911
315,0.053137811
104635,0.102817022
20539,0.991883136
101662,0.378701337
45541,0.182274463
45536,0.075486575
44083,0.063248325
44115,0.049891508
34678,0.048043924
261,0.050321324
34605,0.103646269
34591,0.054371054
98174,0.067407353
100620,0.083198774
34661,0.069877668
8797,0.062368537
34615,0.057632966
8777,0.058255627
98201,0.13660553
8896,0.070826189
100596,0.058058924
100613,0.04437556
49559,0.048584185
34664,0.068815691
443,0.044672062
373,0.048196142
49538,0.062066104
410,0.046428527
458,0.055405693
44102,0.076550547
104657,0.072195969
52092,0.227204499
14405,0.130169438
14404,0.047023941
94127,0.046685122
94120,0.066157095
465,0.044923867
98250,0.176548415
34575,0.118516063
8824,0.073808594
43188,0.10670877
34673,0.101155679
528,0.049519543
8792,0.094891
44133,0.052839978
101673,0.053599885
20358,0.138471206
20470,0.053654677
49473,0.049227556
20536,0.326853311
20621,0.052308723
20426,0.093457053
401,0.086138657
88327,0.070885241
485,0.045071023
88338,0.103465791
8767,0.05021163
106259,0.056859454
106320,0.045282239
105501,0.053222883
243,0.048743555
34612,0.065993309
385,0.112549978
45549,0.046464429
14406,0.074766153
20540,1.476498462
88289,0.094547714
14413,0.04981668
49474,0.045512702
104640,0.0472564
52074,0.565816969
92436,0.04948464
44125,0.051628533
98133,0.0514369
8893,0.056693093
34634,0.108492787
338,0.046476505
34635,0.05218947
98225,0.100220483
8768,0.258726945
8932,0.060953513
352,0.062653547
20535,0.058400078
347,0.055001223
354,0.059129682
8968,0.045392307
8895,0.061085516
94124,0.080438163
8920,0.063961751
8924,0.058557832
34668,0.072123704
34689,0.07963445
34643,0.103950658
502,0.069981445
34582,0.065643274
8906,0.10482491
44074,0.055111748
44137,0.144459566
451,0.070030647
104672,0.046707445
34624,0.051323652
44126,0.123134554
100617,0.606407074
20343,0.083665245
405,0.047820041
8912,0.065771939
92525,0.058686533
66210,0.0452029
8832,0.06452318
34563,0.069415978
245,0.05730527
432,0.045465519
503,0.057961095
8862,0.070230779
8900,0.093520475
14443,0.055119243
20256,0.06813868
8795,0.056640616
98127,0.058952519
101628,0.321176918
58821,0.076433225
34588,0.131935101
58826,0.065761948
286,0.048089008
52222,0.176935382
8947,0.107715038
20483,0.052207244
8879,0.103791689
52048,0.054770843
34590,0.05110063
8878,0.099339372
92559,0.281635561
98162,0.062850265
101703,0.063605255
8866,0.05853359
20485,0.065116686
98137,0.049377061
34567,0.099395044
34654,0.050832378
8821,0.057213594
44108,0.061222901
8841,0.045508975
34606,0.07543576
34667,0.058621148
34676,0.057488541
101725,0.068297328
34554,0.048060113
356,0.044610863
88305,0.052079606
390,0.089361296
88367,0.045664023
98171,0.472899255
20474,0.107616164
98170,0.048495787
105511,0.045752122
101657,0.052974363
45565,0.07125285
14488,0.09705791
360,0.044541758
49373,0.045116999
34670,0.100483743
523,0.048375141
14541,0.044890728
14470,0.119986777
8773,0.093910016
8778,0.047357912
43173,0.055986222
8780,0.044078299
8784,0.044078299
101680,0.048503979
8787,0.060622788
8793,0.146475497
104630,0.169732486
52220,0.153887292
52218,0.115758367
8805,0.045270478
44084,0.076021759
44112,0.069903444
8807,0.047323935
92478,0.045172127
8809,0.044507018
101666,0.075164598
106288,0.05356203
8811,0.044391145
8812,0.058046887
101667,0.05185837
43180,0.10262222
8813,0.263795742
20302,0.17038228
52139,0.073111687
20453,0.054330303
8816,0.057046499
8819,0.044078299
34561,0.049433537
8826,0.044078299
101701,0.072743815
71426,0.049437623
43204,0.074399151
8929,0.059858147
8837,0.044507685
34578,0.055002014
8843,0.13468918
8844,0.129707543
34652,0.095216863
8848,0.087971089
8850,0.049820014
8851,0.048404946
45521,0.073018272
45554,0.053589327
14415,0.053778576
88312,0.051553565
8861,0.079015131
43210,0.077846161
43205,0.046585153
34577,0.051247911
44116,0.070762721
34622,0.071438051
8871,0.08706964
8901,0.069005958
8875,0.200201923
8880,0.112962452
20239,0.067924005
8886,0.106220888
8887,0.048252262
101659,0.06996483
8891,0.066022217
34549,0.067086217
8909,0.047418859
101681,0.052597226
43208,0.079988389
8911,0.05066848
52093,0.060369985
20246,0.049450023
8914,0.044648654
34616,0.055565765
20462,0.055500506
8928,0.044078299
8934,0.046094552
14471,0.053079617
88292,0.181191055
8945,0.075641675
20395,0.068208778
8952,0.083353956
20288,0.120217028
8955,0.044950848
34613,0.050141291
8956,0.052913689
20663,0.054038337
8958,0.05578985
8904,0.065308971
34556,0.047735529
8883,0.123508628
8814,0.134575553
43209,0.1767837
8772,0.04496737
43171,0.070599609
20260,0.055564653
52101,0.0536818
34633,0.044702805
20244,0.053798362
8840,0.044657698
44135,0.051903591
8788,0.063854465
34669,0.075554883
98075,0.224292463
63238,0.064639634
44081,0.061551559
34572,0.068954223
8963,0.046843119
330,0.069071522
8884,0.075498491
34621,0.078369529
43169,0.135785394
88322,0.192078902
14538,0.048173166
52116,0.083621618
20463,0.214136374
34571,0.092077749
8957,0.049655575
92530,0.058251723
8852,0.105272856
52068,0.058028548
34626,0.055733283
8960,0.051233119
20236,0.105607212
20551,0.054895825
8937,0.138684635
20537,0.072374902
20242,0.080959347
52227,0.094434274
43185,0.051849675
8839,0.0508792
101705,0.054938723
8820,0.04482342
8847,0.065876431
43174,0.046210041
8825,0.052963251
8954,0.060636212
8827,0.046353721
8876,0.050103914
104674,0.050515744
8835,0.049314826
336,0.046201018
44078,0.050643198
101712,0.066103697
34623,0.090055298
8845,0.052457514
101706,0.045052243
34579,0.056809724
34552,0.04875776
43202,0.045602878
43172,0.046068631
34639,0.098198477
104661,0.04958976
101648,0.054972536
101726,0.076489378
52091,0.058465537
8791,0.052503001
52134,0.12162242
44095,0.056027531
34636,0.066748852
8799,0.061430947
20304,0.079519699
34568,0.075694316
8831,0.052793179
101636,0.06241577
8905,0.140888056
92527,0.092419824
8927,0.064242028
8857,0.060459187
34642,0.133378435
100579,0.048251009
8783,0.04859655
52077,0.048848509
14430,0.10050465
345,0.048460588
8965,0.045477947
44113,0.049009951
8766,0.068448516
20451,0.113713641
8829,0.094040301
8865,0.049346751
14427,0.228941471
8779,0.045219854
63204,0.073172946
34592,0.051892096
34600,0.088801643
43170,0.052198296
101723,0.052786931
34674,0.087006821
346,0.055449156
88398,0.050482043
49544,0.045830419
77255,0.051411428
8935,0.050169311
20534,0.064325771
98107,0.06149865
52069,0.087640544
71225,0.04849022
20233,0.094475787
20406,0.065460205
20425,0.052985674
8941,0.066368031
8946,0.048005916
34604,0.054484843
44138,0.059335551
104663,0.045729897
43183,0.04756172
34647,0.079273938
101697,0.045425096
101688,0.052848254
8818,0.044434897
52123,0.110068021
8936,0.044852499
8950,0.087913731
98120,0.062970576
45529,0.05424795
98113,0.097452462
43191,0.080141546
44077,0.049427554
8846,0.054325812
20635,0.1131664
20507,0.115994763
8966,0.086207978
34628,0.050867338
52228,0.057001315
101693,0.045468415
8853,0.044384564
8804,0.057827152
52190,0.108112457
34637,0.051158939
101698,0.049511873
20276,0.049288285
34597,0.050071657
20243,0.044589501
20494,0.064646087
98090,0.049846553
8923,0.054889054
34593,0.050155457
98128,0.04915408
43177,0.049862012
34543,0.057028814
20479,0.073221015
8796,0.071939895
52059,0.098732631
71562,0.071014089
20364,0.083904217
34599,0.05365503
8774,0.045888123
14545,0.109484364
77097,0.060287904
100611,0.045019611
43189,0.065823151
20320,0.049312867
8776,0.063044564
8925,0.04701081
8864,0.062823991
8869,0.044520977
320,0.04693264
101671,0.049864311
106305,0.05089955
100584,0.08291378
34541,0.045827862
8922,0.044453616
8910,0.07347834
14492,0.053191489
34595,0.085574806
52226,0.089331852
52109,0.060349926
43195,0.056012482
98231,0.210505703
34553,0.047953369
8808,0.04602543
34644,0.05111792
20522,0.065830909
20261,0.076102135
34542,0.060221651
20533,0.049722569
43181,0.044231456
333,0.046148157
34687,0.047730071
20525,0.054408213
20313,0.071162236
101716,0.053865168
8817,0.051847246
98202,0.060255707
20377,0.101263331
8942,0.061239994
101710,0.065412892
98102,0.064840039
34559,0.052689979
8803,0.046370423
20511,0.067758263
20291,0.257318352
45516,0.05098175
14407,0.109586726
45556,0.063546765
94121,0.079458198
94131,0.058226862
88313,0.135900069
14429,0.044078299
14440,0.044078299
14461,0.062732308
88353,0.076994291
14481,0.044078299
14486,0.062363932
14512,0.057913785
88293,0.062551224
14520,0.044078299
94135,0.315709578
94132,0.047741381
14507,0.045336686
14485,0.090071656
14408,0.159052052
14458,0.044232193
45582,0.046865202
88375,0.194296146
45545,0.057164809
14537,0.048239866
94148,0.124649293
45535,0.047106702
45570,0.05105048
88315,0.055417118
14467,0.04492032
45523,0.052905636
14539,0.053647617
14547,0.060316445
14513,0.194531852
14514,0.072525792
45519,0.061939705
88320,0.158804793
88330,0.059705884
45563,0.044486605
45581,0.061477769
14473,0.048652125
14416,0.080609745
88392,0.055895093
14546,0.056572747
14402,0.067106707
88340,0.06955659
88331,0.046106918
88345,0.052610858
94147,0.072734509
14477,0.04748369
14441,0.082638844
45568,0.062495825
14459,0.059083652
14472,0.079893216
45555,0.048519128
14450,0.04516148
14439,0.058777138
45531,0.045932072
14525,0.060238418
14540,0.072297709
94118,0.074881198
88366,0.053828752
88337,0.052341907
14533,0.065927843
14482,0.146083988
45585,0.048398442
94156,0.044919633
45524,0.051794107
45537,0.056309934
88294,0.062112066
45517,0.070888014
45577,0.060808973
8790,0.083058973
88348,0.052307299
88400,0.044993817
14483,0.049066714
14494,0.110226142
14503,0.057560503
66237,0.077094667
88344,0.058728178
14446,0.050526566
88355,0.147269962
45578,0.053963694
88319,0.059413904
45547,0.053047945
94133,0.05187856
14551,0.044078299
14456,0.06203595
45518,0.079636194
45532,0.082775941
45526,0.049339886
88419,0.069185684
14479,0.051292424
14424,0.051057117
88328,0.048777429
101721,0.052985953
88435,0.061081508
95189,0.046208266
94137,0.067749595
88300,0.056320899
88346,0.063805516
14448,0.044811683
14437,0.09638093
14505,0.121821731
88288,0.045426552
14489,0.050283562
49564,0.049705118
88298,0.057387465
94130,0.04946551
88290,0.063515648
88339,0.047087903
45520,0.046206381
14419,0.058578733
14535,0.052269868
14454,0.054631253
94146,0.04736851
88332,0.052293015
14464,0.079326608
14527,0.044538176
14521,0.103146858
106236,0.058117901
14417,0.062397897
88373,0.047450954
45544,0.051947747
106279,0.046955137
88358,0.06522975
14516,0.076181682
88436,0.048121743
14410,0.057875953
88291,0.051763547
88317,0.075005888
88429,0.04780698
14422,0.047874348
45542,0.106685288
45514,0.066871413
14506,0.05052615
88308,0.045714232
45540,0.048461644
14511,0.044370082
14493,0.066674584
14509,0.057104076
45543,0.07673556
88302,0.113779099
106280,0.050293788
88364,0.053078938
88323,0.072545884
14418,0.044951487
88301,0.0559819
14518,0.045816617
45567,0.046157892
14478,0.049336027
45584,0.045493388
14411,0.050732152
88383,0.044551842
14436,0.05968759
94140,0.079062089
45546,0.045306771
14484,0.050372888
88395,0.044533849
88297,0.051108564
45539,0.053794123
256,0.099278023
88376,0.04804863
14491,0.055130501
14542,0.0558154
94149,0.049128379
14428,0.049667721
14434,0.04570855
88342,0.045942062
88418,0.048909803
88365,0.049166683
88334,0.044581455
14508,0.045746519
14442,0.045218716
63272,0.085232386
88303,0.076183918
14466,0.069186313
14409,0.048389722
45576,0.070615979
481,0.051619513
14449,0.050742883
88389,0.054298882
14519,0.046204415
106250,0.046112965
34694,0.044601018
34695,0.045351823
88363,0.046406905
88311,0.047306723
88309,0.04941761
45574,0.047999226
88336,0.049213112
14447,0.045257898
94145,0.067688078
20238,0.047151361
20240,0.105868816
20383,0.110198235
20247,0.044078299
52114,0.05237188
20250,0.049619879
20270,0.053865024
20272,0.076039107
20280,0.044192062
20284,0.044078299
20287,0.089172631
52208,0.047376189
20290,0.108113024
52138,0.139222114
20307,0.044078299
