key,PR
1743,0.062244739
104276,0.053630407
1752,0.053156559
40179,0.068218461
1790,0.079741857
15863,0.170863345
1792,0.042189592
1944,0.058749856
2042,0.054638405
1793,0.042189592
1990,0.052619707
1802,0.042189592
1932,0.044355141
1842,0.042189592
1710,0.046674561
1869,0.042189592
1845,0.069457969
1870,0.042464979
40022,0.062938577
1875,0.042518653
40131,0.045668614
1898,0.042189592
40168,0.043551604
1902,0.043551352
40156,0.057423441
1927,0.063205437
99926,0.098572417
1945,0.048222466
40024,0.051827692
1935,0.057744449
1954,0.08182865
105764,0.0803727
1964,0.04415946
40126,0.052225431
1965,0.048767616
1983,0.049143967
15989,0.043056951
1988,0.042189592
15754,0.043568737
2005,0.042189592
1720,0.04842834
2046,0.042189592
101342,0.050453939
2059,0.042189592
35494,0.060358198
1931,0.062064724
2061,0.042516495
1890,0.087715332
2067,0.042189592
1997,0.049590717
2085,0.042189592
15816,0.043260337
2098,0.042189592
40013,0.042514437
2108,0.042189592
40025,0.119899929
2133,0.042189592
1998,0.042750948
2134,0.042189592
1789,0.044119607
2177,0.042189592
46166,0.288755202
35382,0.094011456
35467,0.06522651
2179,0.0506768
15784,0.229906964
2167,0.05263673
2148,0.044757374
2168,0.043502008
2180,0.1188124
15857,0.208794267
46167,0.34880674
2181,0.042189592
1726,0.046376833
2182,0.044838359
15765,0.042526845
2184,0.045977597
10311,0.045273623
44516,0.052431021
40023,0.042658887
2190,0.051813772
2191,0.042189592
1739,0.042381145
2199,0.044327182
1724,0.046001376
10145,0.147811405
2202,0.053526567
35386,0.043503755
2205,0.042189592
1992,0.043503211
2207,0.062532352
44524,0.093489312
2219,0.042189592
1939,0.06758519
2222,0.043493071
44515,0.056332812
2223,0.045521892
2224,0.046576578
10077,0.084784145
44470,0.073562581
2226,0.042394893
44476,0.172938086
44464,0.070747453
1883,0.046155151
2228,0.075975166
2229,0.042189592
44500,0.067458416
35339,0.064171006
10054,0.050766581
2231,0.046875421
2232,0.068601191
2006,0.054608067
44485,0.192691543
2233,0.050195513
2235,0.043262348
107453,0.057417797
59800,0.134271757
2239,0.042595196
2241,0.042457882
122935,0.170589279
2252,0.047131475
24046,0.130769848
123018,0.428461834
2255,0.043903447
1952,0.044276373
2257,0.042189592
50161,0.044146855
1827,0.042472003
40037,0.042365738
40053,0.043249375
2356,0.050905713
40009,0.042189592
2258,0.042189592
40056,0.042189592
2260,0.042189592
1781,0.050176024
2261,0.042189592
39994,0.043841226
1960,0.075870824
2470,0.045571282
2262,0.044004327
2009,0.047010177
2265,0.045936027
40039,0.0515669
2267,0.042189592
1947,0.050946757
40001,0.042928453
2268,0.042189592
66414,0.05414436
2269,0.042189592
2126,0.060121568
2272,0.042544566
2273,0.042189592
1826,0.042483429
2278,0.050547496
2282,0.042189592
99884,0.045186263
2283,0.042189592
23511,0.067096615
1980,0.097910955
2289,0.042189592
15838,0.122112252
2291,0.042189592
2296,0.042189592
39996,0.075127189
2300,0.042189592
1962,0.042189592
2302,0.042189592
2304,0.042395494
1995,0.052227136
2306,0.042189592
15887,0.083805292
2307,0.042189592
23612,0.108709417
2313,0.042189592
1936,0.045448874
2314,0.042189592
2318,0.047078894
2326,0.044666715
59874,0.110309509
2327,0.045534388
1762,0.043677643
2332,0.043435427
1759,0.049889582
2333,0.061713456
10210,0.078006334
2340,0.067207386
99939,0.16915047
2343,0.042189592
40038,0.046503661
2350,0.042771382
1703,0.047217632
39997,0.049862481
2363,0.07265535
95828,0.058512089
2364,0.042189592
2368,0.055340417
99440,0.164823024
2374,0.043633734
65127,0.069080713
2375,0.075423395
23279,0.135416972
10047,0.17918223
23297,0.151857322
46205,0.121509861
2377,0.066392807
15854,0.185246802
2379,0.057031532
35394,0.177391182
35423,0.177799402
23170,0.35192444
23592,0.075587192
23921,0.219407471
2380,0.042189592
122837,0.057764257
2381,0.042189592
2387,0.042189592
40123,0.05166756
2391,0.042189592
40122,0.046117921
40098,0.047167268
2392,0.042189592
2393,0.049122383
2395,0.06549771
40075,0.126371964
2397,0.052732628
40117,0.049990193
2399,0.042189592
1879,0.044475143
2404,0.045886235
35367,0.050344946
2405,0.042189592
10271,0.042250664
10256,0.070875336
2406,0.042189592
100015,0.156081427
2407,0.042693846
10277,0.050065656
2409,0.042189592
105178,0.221375902
23438,0.064240732
2411,0.043121587
1970,0.044864173
2413,0.048819573
10300,0.068830829
2414,0.042189592
122898,0.054724173
2415,0.044174201
59712,0.059404708
2418,0.042189592
1972,0.042349801
2420,0.042189592
10282,0.042359957
2421,0.091156621
1922,0.052822404
2422,0.052499727
40150,0.046012284
1740,0.048245208
2427,0.0509839
35397,0.059703515
2428,0.042247639
40173,0.053405158
2431,0.0427561
2435,0.045367147
10056,0.059025467
2436,0.062892558
2438,0.066109115
105869,0.043821354
2442,0.042189592
104935,0.043267285
2443,0.051915408
10168,0.068336316
2445,0.042676913
59729,0.078517517
1914,0.044125591
10207,0.074323975
2447,0.046402074
2448,0.042189592
43381,0.05421682
2452,0.042733607
35378,0.103368091
2456,0.066055624
59806,0.05287946
2462,0.042189592
105329,0.045506059
2463,0.045582021
2465,0.042189592
1938,0.042257645
2467,0.05056528
2107,0.044104474
2468,0.0613258
39992,0.086851208
2469,0.045401553
1943,0.043449922
105827,0.042189592
2472,0.049810385
105306,0.043282386
2473,0.061355185
44486,0.04886603
2474,0.047414044
1953,0.044978012
2476,0.048322297
2011,0.042470317
2477,0.048469441
2496,0.048982872
2479,0.042389388
105309,0.044606955
40005,0.042329092
2482,0.042189592
1933,0.042505774
2483,0.045525791
2013,0.042414935
2485,0.042246773
2012,0.043981707
2488,0.042189592
2490,0.058909138
2270,0.044067206
2491,0.045021149
1959,0.091125314
2494,0.062581745
39968,0.045267937
2495,0.042189592
2501,0.043464441
2504,0.042189592
2015,0.058052091
1753,0.042503432
2506,0.042342784
2507,0.042189592
2038,0.04271672
2508,0.042301191
1996,0.043272006
2509,0.060216129
10084,0.070269638
2510,0.042189592
10148,0.049691589
2511,0.042850424
2515,0.058020158
15807,0.325527935
2516,0.042189592
15767,0.093365837
2517,0.042189592
15998,0.042652032
2521,0.04340423
15758,0.052611076
2524,0.053728728
15814,0.126934516
1986,0.042517615
15837,0.069165771
2525,0.042638836
46152,0.054678539
15732,0.042911914
2526,0.044280945
15841,0.060958074
2528,0.042189592
98978,0.131133762
23290,0.074624662
23257,0.062611644
2530,0.042189592
2169,0.049467341
2531,0.043043039
15819,0.134625498
2532,0.042189592
2533,0.044588042
2535,0.042189592
10225,0.05532223
2536,0.063695778
122866,0.063597187
2537,0.056088512
35360,0.094608334
10128,0.047842458
10127,0.051913847
2538,0.042189592
2541,0.043144915
1746,0.062598628
2151,0.042189592
2542,0.042189592
2543,0.044728869
2544,0.04299026
35395,0.068085393
2549,0.042189592
2551,0.042189592
122965,0.062918716
2554,0.042502323
15832,0.231118776
2555,0.042189592
2556,0.045840135
2153,0.046887399
2557,0.042189592
2566,0.042189592
40051,0.061827938
2568,0.043332743
2569,0.042189592
2571,0.042189592
40052,0.075521993
2572,0.042189592
2580,0.042189592
2583,0.042189592
104253,0.044584409
2586,0.042189592
59068,0.067763045
2588,0.042189592
15873,0.080332065
2594,0.042189592
2138,0.042786873
2596,0.092304393
50138,0.074063103
2338,0.045771737
2597,0.046188975
44614,0.067598888
44731,0.093965022
10442,0.053846608
44568,0.042829007
50131,0.051778954
2598,0.04443929
50269,0.044661662
50157,0.047078838
2599,0.062833631
59952,0.074782583
44555,0.059137185
2600,0.052831938
2334,0.042872301
2602,0.042938527
24179,0.051189569
2603,0.045700219
2493,0.042189592
2604,0.058774457
35602,0.056631558
2605,0.044397216
1904,0.055776548
10117,0.050984867
2607,0.042189592
2608,0.04307242
39976,0.042189592
2610,0.047013553
50175,0.065353976
2612,0.051018312
2487,0.05922683
2613,0.045353909
10070,0.443853155
53127,0.05514095
24177,0.045429417
2614,0.042589891
50143,0.04389411
2615,0.048358495
40047,0.051372585
40048,0.046507612
50156,0.049862957
2616,0.047584947
2617,0.045351952
35802,0.12077041
35641,0.094165037
59786,0.077830457
23295,0.054850613
2618,0.042189592
10627,0.051244102
