key,PR
1292,0.043296215
39718,0.04999424
1296,0.049500556
39702,0.062958545
1298,0.042556455
1300,0.044837843
1308,0.06113432
1310,0.043529823
39703,0.074670183
1311,0.109272077
39919,0.077940706
1314,0.044161575
39723,0.051014859
1318,0.053734699
1325,0.042556455
39697,0.042797487
1326,0.055404244
39689,0.051327907
44364,0.05384608
1330,0.042556455
91961,0.04351082
1333,0.045433193
39860,0.042916966
1339,0.054590424
15118,0.088235146
118470,0.043186888
1343,0.055358021
94366,0.046958054
1347,0.042556455
39674,0.060049948
1351,0.042556455
35050,0.059483911
1358,0.140742561
45832,0.065344129
45895,0.057315307
9614,0.04450941
45914,0.066689738
1362,0.044232003
88705,0.043701178
1363,0.042648808
59485,0.106387686
1364,0.042556455
88621,0.049524839
1369,0.044153476
55869,0.054313311
1370,0.044671017
105391,0.08914935
1375,0.068553139
1377,0.045818704
39917,0.058756037
1385,0.077943402
59630,0.052762483
1387,0.042556455
97593,0.044572531
1388,0.042556455
97555,0.114264461
1389,0.071289431
122234,0.063660795
97560,0.149746283
1402,0.042556455
39888,0.081052919
1574,0.052290242
1404,0.042616285
35126,0.11135228
1406,0.042556455
39902,0.0821872
1419,0.042556455
39906,0.069549183
1420,0.042556455
9671,0.079722548
1421,0.042556455
44376,0.046758799
1432,0.044354981
55858,0.04941609
1433,0.042556455
39620,0.096346277
39622,0.083708859
39660,0.04261062
39662,0.042556455
39663,0.064131898
1437,0.042556455
105394,0.057946507
1439,0.042556455
1442,0.047538311
9470,0.111176274
39686,0.055951965
35139,0.062624727
1446,0.046196012
39751,0.055190279
1447,0.043098434
39712,0.076898397
39722,0.055396149
39777,0.046495315
1452,0.042700537
39684,0.060377439
1455,0.042556455
95691,0.042556455
1456,0.04614416
39763,0.059684468
58984,0.049725619
1462,0.046160717
39753,0.049833361
58934,0.06236063
39669,0.049151415
1471,0.043349821
122417,0.049448996
1472,0.045052887
97518,1.454268997
35060,0.067233425
97347,0.10526092
1474,0.075952364
35124,0.071701417
1476,0.042556455
35151,0.049075142
1477,0.043452878
35141,0.064669441
1478,0.043751306
39789,0.045069031
39845,0.052744669
1479,0.044570656
1481,0.042556455
122644,0.045114704
1483,0.043875733
122422,0.147494383
97614,0.066556983
1484,0.042556455
9647,0.194996332
88629,0.139238724
35048,0.240016481
45884,0.044652935
1489,0.043248068
39791,0.050102858
9538,0.055877103
1490,0.043019519
92833,0.048351955
59497,0.045580245
22273,0.257774539
1493,0.045236045
39803,0.047108784
1496,0.052584409
44355,0.086069007
39639,0.052206812
35135,0.047634859
1502,0.042556455
35157,0.062996723
1504,0.042556455
39878,0.046085044
1505,0.042556455
35116,0.074737362
35083,0.044907004
1507,0.058177877
35031,0.059142366
1509,0.042556455
35085,0.056778627
1511,0.042556455
1512,0.042556455
43348,0.059825106
35019,0.098980101
22208,0.535729211
1513,0.042556455
9563,0.052376523
1514,0.043643948
35061,0.117318158
44335,0.071000764
1517,0.101394172
39644,0.056194202
1518,0.049438974
1519,0.05028887
39625,0.053651142
39661,0.071774201
1520,0.048119931
1523,0.052964307
1526,0.075519165
39631,0.050777046
1525,0.042556455
39617,0.049848899
1527,0.042556455
39638,0.047279687
1534,0.04771888
105309,0.064282349
