key,cited_num,pr,fi,div,dfk,exp_dfk
50126,3,0.007545318,0.001901259,0.007336155,0.262211367,1.299801249
14199,1,0.00754531,0.00174504,0.00580027,0,1
4965,1,0.007545305,0.001797796,0.005747509,0,1
91348,1,0.007545265,0.001734284,0.005810981,0,1
61156,1,0.007545264,0.001730674,0.00581459,0,1
40866,3,0.007545255,0.001702114,0.012066235,0.725142566,2.065025481
86528,5,0.007545238,0.001724058,0.011905779,0.715520922,2.045251822
96928,1,0.007545203,0.001735757,0.005809446,0,1
31885,2,0.007545196,0.001707382,0.013014491,0.801707036,2.229343251
32012,3,0.007545188,0.00172007,0.011059239,0.641086901,1.898543287
25789,2,0.007545182,0.001713874,0.01255896,0.767192997,2.153712284
70117,1,0.007545172,0.001729735,0.005815437,0,1
102530,2,0.007545099,0.001827738,0.012221696,0.759705395,2.137646366
4394,1,0.007545099,0.001800633,0.005744466,0,1
69628,1,0.007545031,0.001691103,0.005853928,0,1
107106,1,0.007545027,0.001741301,0.005803726,0,1
25522,1,0.007545021,0.001738219,0.005806802,0,1
3334,3,0.007545002,0.001790781,0.006072814,0.053888369,1.055366784
62860,2,0.007544912,0.001718083,0.013478876,0.838650804,2.313243852
94899,2,0.007544896,0.001729456,0.010908309,0.629008375,1.875749616
41743,1,0.007544895,0.001744334,0.005800561,0,1
101101,2,0.00754488,0.001750707,0.008653052,0.401059284,1.493405801
113590,2,0.007544869,0.001783335,0.007312536,0.238386309,1.269199402
18434,3,0.007544863,0.001737026,0.009395298,0.481001153,1.61769315
82521,1,0.007544851,0.001741257,0.005803594,0,1
75352,1,0.00754484,0.001733591,0.005811249,0,1
100836,2,0.007544791,0.001724938,0.011678129,0.696442812,2.006602135
6258,1,0.00754475,0.001741819,0.005802931,0,1
102792,1,0.007544727,0.001732978,0.005811749,0,1
8660,1,0.007544716,0.001699577,0.005845139,0,1
54008,1,0.007544666,0.001689569,0.005855097,0,1
25294,1,0.007544663,0.00173913,0.005805533,0,1
82508,1,0.007544638,0.001710155,0.005834483,0,1
44927,3,0.007544626,0.001724162,0.010683053,0.607278705,1.83542985
109781,1,0.007544618,0.001741931,0.005802687,0,1
3186,2,0.00754457,0.001754446,0.00775723,0.292471562,1.339734636
65640,1,0.007544567,0.001708436,0.005836131,0,1
6433,4,0.007544553,0.001734684,0.010538032,0.595432828,1.813815846
44181,1,0.007544551,0.001699264,0.005845287,0,1
43858,7,0.007544456,0.001727433,0.010836218,0.622105445,1.862846036
34629,4,0.007544454,0.001799491,0.011972005,0.734247517,2.083913292
117248,4,0.007544453,0.001722414,0.013225915,0.820527619,2.271698114
66979,1,0.007544453,0.001792188,0.005752265,0,1
87400,1,0.007544448,0.001743157,0.005801291,0,1
36702,3,0.00754438,0.001718499,0.010122896,0.552489584,1.737573473
94001,2,0.00754437,0.001724638,0.01015077,0.556295346,1.744198863
88929,1,0.007544358,0.00171541,0.005828948,0,1
28097,1,0.007544349,0.001723321,0.005821028,0,1
56954,2,0.00754434,0.001722991,0.009121471,0.449099017,1.566899799
119781,3,0.007544331,0.001736245,0.011257481,0.661781761,1.938242745
108665,1,0.007544314,0.001707266,0.005837048,0,1
92372,2,0.007544307,0.001676362,0.011795985,0.698254729,2.010241228
106710,1,0.007544303,0.001736794,0.005807509,0,1
110370,5,0.007544289,0.001736378,0.010666434,0.607880841,1.836535362
90684,2,0.007544278,0.001753944,0.010300883,0.576039693,1.778979157
109282,1,0.007544272,0.001747925,0.005796347,0,1
59601,1,0.007544267,0.001678472,0.005865795,0,1
41892,1,0.007544267,0.001741841,0.005802426,0,1
113824,1,0.007544247,0.001728105,0.005816142,0,1
