1298,1300,0.047577855
1339,118470,0
1375,1377,0.035443038
1385,59630,0.069284065
1402,1574,0.060225847
1421,44376,0
1456,58984,0.032080201
1462,58934,0.067447307
1472,97347,0.015246808
1518,1519,0.011916922
1519,1518,0.152277362
1523,1526,0.058548009
1534,105309,0.499370277
1559,97384,0.024698981
1573,1375,0.084536809
1577,1579,0.123677028
1579,1577,0.01658925
1580,105355,0.002387521
1595,1658,0.25141962
1610,1653,0.125
1617,88985,0.021019443
1623,35231,0.108731466
1641,1581,0.036880693
1649,35293,0
1652,1658,0.26185567
1652,1595,0.005154639
1654,88820,0.041129944
1666,1579,0.069327731
1697,35212,0.353510896
1708,1313,0
1710,1299,0.239244952
1711,1307,0.291350531
1718,1296,0.191982582
1720,44390,0.41827768
1721,22788,0.106808245
1721,22802,0.043306267
1721,1341,0.016656257
1722,1587,0.180794431
1726,1340,0
1727,1441,0.182736214
1728,87523,0.019846406
1729,58104,0.021863118
1730,1441,0.001018211
1737,94391,0.105461394
1737,46086,0.041720991
1742,1591,0.270817704
1742,9915,0.022505626
1743,104276,0.105113636
1752,40179,0.420462509
1752,1623,0.028030834
1758,1603,0
1759,44423,0.146211313
1759,35271,0.008004269
1767,105361,0.003717077
1770,58995,0.005853887
1771,9904,0.181926278
1774,9734,0.031163435
1777,35242,0
1784,9757,0.04332521
1785,9844,0.194539249
1785,1472,0.020477816
1785,52739,0.016211604
1785,9932,0.005972696
1787,97474,0.060127328
1787,52674,0.059891535
1790,15863,0.021828104
1792,1944,0.375293198
1792,2042,0.347146208
1792,1555,0.039093041
1793,1990,0.221606648
1793,1308,0.073868883
1798,1297,0.120854827
1802,1932,0
1806,15420,0.060498221
1807,1576,0.172413793
1822,1501,0.178756477
1838,50070,0.252710592
1838,1328,0.127189324
1842,1299,0.192608387
1842,1710,0.125088842
1849,1576,0.190721649
1862,1482,0
1863,1358,0.023387905
1863,88942,0.023387905
1864,9816,0.15620384
1869,1845,0
1870,40022,0.007467563
1871,58933,0.190015311
1872,58974,0.187634409
1874,58955,0.300555556
1875,40131,0.050301811
1876,1458,0.101315149
1876,58944,0.007306381
1878,35249,0.024040684
1881,58998,0.358243297
1884,58998,0.067499452
1885,52767,0.057023644
1887,44434,0.006920415
1888,44450,0.002450145
1889,35275,0.214759265
1889,44450,0.01217259
1890,9738,0.033566434
1891,35214,0
1893,1497,0.006119951
1894,35254,0.095652174
1895,9940,0
1896,22803,0.063179782
1896,22606,0.026862515
1898,40168,0.038006757
1899,59692,0.052626201
1902,105226,0.021720243
1902,40156,0.013032146
1902,1662,0.01158413
1904,35178,0.177210366
1905,35196,0.038350911
1906,1358,0.055248619
1906,46018,0.046616022
1906,59590,0.024171271
1906,105224,0.024171271
1908,44449,0.010619939
1910,35207,0.013043478
1912,97323,0.008547009
1913,52532,0.077824608
1913,1329,0.040150843
1913,52772,0.018855368
1915,35308,0.072253259
1917,35238,0.107586207
1917,35229,0.004597701
1918,15324,0.019794141
1918,15509,0.019794141
1921,59583,0.006254313
1922,1503,0.012875536
1922,1478,0
1922,22806,0
1924,9998,0.163013876
1924,9869,0.097263649
1924,35284,0.036311762
1924,9926,0.013616911
1924,9735,0.010374789
1925,44450,0.013785498
1925,1471,0.011028398
1926,9731,0.024349286
1927,99926,0.068512703
1927,35310,0.044961462
1928,1647,0.014398848
1931,22585,0.017921147
1935,49882,0.034379029
1943,1523,0.043117745
1943,1526,0.021558872
1944,1555,0.165684831
1945,49882,0.10942492
1945,1553,0.076677316
1945,40024,0.002928647
1945,1935,0.002928647
1951,44440,0.033931699
1954,105764,0.043237251
1955,1581,0.463057978
1955,1576,0.071831709
1955,1574,0.057465367
1959,1517,0.533986656
1960,1526,0.031116297
1964,1563,0.126816968
1964,40126,0.013349155
1965,1459,0.074631357
1965,1563,0.046268432
1965,40126,0.004890159
1970,1563,0.108359133
1975,9828,0.140988044
1977,15394,0.014272837
1978,88891,0.036982249
1978,46066,0.008321006
1978,15351,0
1979,46019,0
1980,58381,0.006123838
1980,15450,0.001360853
1980,35230,0
1981,46100,0.063757438
1981,58125,0.022669311
1983,15504,0.002237522
1983,15989,0
1985,46035,0.021556977
1986,58222,0.464191976
1986,15308,0.01312336
1986,15544,0.01312336
1987,15342,0.153038427
1987,46014,0.035746202
1987,15351,0.029043789
1987,46018,0.015638963
1988,15754,0.020400593
1991,58995,0.051012753
1994,1575,0.013428827
1996,44376,0.026030046
1998,44366,0.020335536
1998,9882,0
2005,1720,0.008726003
2006,59598,0.009350649
2009,1651,0.063306852
2009,1655,0.045680238
2010,22864,0.007863883
2013,1539,0.143295803
2014,9904,0.011902186
2016,1308,0.420576132
2025,1576,0.015098722
2026,1381,0.026936027
2035,1591,0.011940299
2035,1562,0.011940299
2035,1590,0
2041,35218,0.010186757
2042,1944,0
2043,58997,0
2043,1577,0
2043,1579,0
2046,97471,0.141489804
2046,22529,0.113191844
2046,52684,0.062421973
2046,9781,0.016645859
2046,22731,0.014565127
2046,101342,0.014565127
2048,52722,0
2049,97316,0.030120482
2050,46055,0.104265403
2050,52674,0.065165877
2050,97474,0.052132701
2054,61271,0
2059,1466,0.226289517
2059,35494,0.106073211
2059,1931,0
2061,1890,0.161198657
2064,44434,0.321623731
2064,23049,0
2067,1997,0.165137615
2069,15393,0.019762846
2069,1655,0.014116318
2069,46002,0
2078,22789,0.012363892
2085,58300,0.262068966
2085,15816,0.029885057
2087,88942,0.080629921
2087,15446,0
2089,88853,0.016447368
2091,88974,0.181523501
2091,46022,0
2092,88853,0.035182018
2093,46087,0.205757576
2098,40013,0.009086504
2099,1539,0
2103,1539,0
2106,1523,0.012207031
2108,40025,0.829301746
2133,1998,0
2134,1789,0.046317144
2134,1562,0.011257639
2135,1628,0.018545994
2138,22536,0.049485352
2139,58936,0.178918169
2148,1591,0.077780837
2148,9915,0.005506608
2149,22721,0.022172949
2149,88982,0.012195122
2149,52696,0.012195122
2153,88988,0.353312303
2159,88971,0.112676056
2160,1358,0.1375
2162,35189,0.276572668
2168,88857,0
2169,22960,0
2176,15432,0.038149738
2176,58198,0.023247496
2177,88974,0.120273349
2177,46166,0.080182232
2177,35382,0.059835665
2177,44443,0.010575984
2177,35467,0
2177,22960,0
