,key,PR
0,1743,0.03524153
1,104276,0.030364295
2,1752,0.030096013
3,40179,0.038623713
4,1790,0.045147993
5,15863,0.09673887
6,1792,0.02388677
7,1944,0.033262808
8,2042,0.030935
9,1793,0.02388677
10,1990,0.02979206
11,1802,0.02388677
12,1932,0.025112854
13,1842,0.02388677
14,1710,0.026426056
15,1869,0.02388677
16,1845,0.039325494
17,1870,0.024042688
18,40022,0.035634365
19,1875,0.024073077
20,40131,0.025856512
21,1898,0.02388677
22,40168,0.02465791
23,1902,0.024657767
24,40156,0.032511823
25,1927,0.035785455
26,99926,0.05580942
27,1945,0.027302444
28,40024,0.029343639
29,1935,0.03269357
30,1954,0.046329487
31,105764,0.045505162
32,1964,0.025002064
33,40126,0.02956883
34,1965,0.027611095
35,1983,0.027824176
36,15989,0.024377849
37,1988,0.02388677
38,15754,0.02466761
39,2005,0.02388677
40,1720,0.027419005
41,2046,0.02388677
42,101342,0.028565852
43,2059,0.02388677
44,35494,0.034173414
45,1931,0.03513961
46,2061,0.024071855
47,1890,0.04966239
48,2067,0.02388677
49,1997,0.028077116
50,2085,0.02388677
51,15816,0.024493001
52,2098,0.02388677
53,40013,0.02407069
54,2108,0.02388677
55,40025,0.067884564
56,2133,0.02388677
57,1998,0.024204597
58,2134,0.02388677
59,1789,0.0249795
60,2177,0.02388677
61,46166,0.16348651
62,35382,0.05322711
63,35467,0.03692974
64,2179,0.028692031
65,15784,0.130168
66,2167,0.029801698
67,2148,0.025340589
68,2168,0.02462983
69,2180,0.06726883
70,15857,0.11821448
71,46167,0.1974863
72,2181,0.02388677
73,1726,0.026257489
74,2182,0.025386441
75,15765,0.024077715
76,2184,0.026031451
77,10311,0.025632877
78,44516,0.02968523
79,40023,0.024152474
80,2190,0.029335758
81,2191,0.02388677
82,1739,0.023995223
83,2199,0.025097024
84,1724,0.026044914
85,10145,0.083687395
86,2202,0.030305503
87,35386,0.024630819
88,2205,0.02388677
89,1992,0.024630511
90,2207,0.03540437
91,44524,0.052931484
92,2219,0.02388677
93,1939,0.03826517
94,2222,0.02462477
95,44515,0.031894334
96,2223,0.025773441
97,2224,0.02637058
98,10077,0.04800282
99,44470,0.04164943
100,2226,0.024003007
101,44476,0.09791354
102,44464,0.04005557
103,1883,0.026131978
104,2228,0.04301538
105,2229,0.02388677
106,44500,0.038193393
107,35339,0.036332138
108,10054,0.028742863
109,2231,0.026539778
110,2232,0.038840406
111,2006,0.030917823
112,44485,0.10909749
113,2233,0.028419537
114,2235,0.02449414
115,107453,0.032508627
116,59800,0.07602156
117,2239,0.024116414
118,2241,0.02403867
119,122935,0.0965837
120,2252,0.02668475
121,24046,0.07403886
122,123018,0.24258517
123,2255,0.024857115
124,1952,0.025068257
125,2257,0.02388677
126,50161,0.024994927
127,1827,0.024046665
128,40037,0.0239865
129,40053,0.024486795
130,2356,0.028821636
131,40009,0.02388677
132,2258,0.02388677
133,40056,0.02388677
134,2260,0.02388677
135,1781,0.028408503
136,2261,0.02388677
137,39994,0.024821887
138,1960,0.042956304
139,2470,0.025801405
140,2262,0.024914231
141,2009,0.026616074
142,2265,0.026007915
143,40039,0.029195985
144,2267,0.02388677
145,1947,0.028844874
146,40001,0.024305096
147,2268,0.02388677
148,66414,0.030655283
149,2269,0.02388677
150,2126,0.03403944
151,2272,0.024087748
152,2273,0.02388677
153,1826,0.024053134
154,2278,0.028618822
155,2282,0.02388677
156,99884,0.025583416
157,2283,0.02388677
158,23511,0.03798855
159,1980,0.055434916
160,2289,0.02388677
161,15838,0.06913713
162,2291,0.02388677
163,2296,0.02388677
164,39996,0.042535275
165,2300,0.02388677
166,1962,0.02388677
167,2302,0.02388677
168,2304,0.024003347
169,1995,0.029569795
170,2306,0.02388677
171,15887,0.047448616
172,2307,0.02388677
173,23612,0.061548755
174,2313,0.02388677
175,1936,0.0257321
176,2314,0.02388677
177,2318,0.02665498
178,2326,0.02528926
179,59874,0.06245469
180,2327,0.025780516
181,1762,0.02472927
182,2332,0.024592133
183,1759,0.028246326
184,2333,0.03494073
185,10210,0.04416538
186,2340,0.038051266
187,99939,0.09576908
188,2343,0.02388677
189,40038,0.026329296
190,2350,0.024216166
191,1703,0.02673353
192,39997,0.028230982
193,2363,0.041135777
194,95828,0.03312819
195,2364,0.02388677
196,2368,0.031332463
197,99440,0.09331898
198,2374,0.02470441
199,65127,0.0391119
200,2375,0.04270298
201,23279,0.076669954
202,10047,0.10144883
