,key,PR
0,1298,0.027496463
1,1300,0.027952325
2,1339,0.035417177
3,118470,0.026891125
4,1375,0.04321944
5,1377,0.028538724
6,1385,0.056178577
7,59630,0.033304013
8,1402,0.02649145
9,1574,0.034074593
10,1421,0.02649145
11,44376,0.029111743
12,1456,0.032610975
13,58984,0.031086924
14,1462,0.028735178
15,58934,0.03882301
16,1472,0.028077
17,97347,0.07777572
18,1518,0.030775795
19,1519,0.031304833
20,1523,0.03546597
21,1526,0.051187582
22,1534,0.029719645
23,105309,0.04061398
24,1559,0.026672643
25,97384,0.03607714
26,1573,0.02929754
27,1577,0.031823136
28,1579,0.031797666
29,1580,0.029075885
30,105355,0.033489637
31,1595,0.044870324
32,1658,0.044601694
33,1610,0.02649145
34,1653,0.02930557
35,1617,0.026831489
36,88985,0.03014841
37,1623,0.027280899
38,35231,0.035340562
39,1641,0.02649145
40,1581,0.04234124
41,1649,0.02649145
42,35293,0.04939854
43,1652,0.02649145
44,1654,0.02649145
45,88820,0.042938612
46,1666,0.02649145
47,1697,0.02649145
48,35212,0.040270336
49,1708,0.0503567
50,1313,0.02824812
51,1710,0.029307703
52,1299,0.04138811
53,1711,0.02649145
54,1307,0.034397613
55,1718,0.02649145
56,1296,0.030813916
57,1720,0.030391065
58,44390,0.03729608
59,1721,0.02649145
60,22788,0.112679906
61,22802,0.03418514
62,1341,0.029247548
63,1722,0.02649145
64,1587,0.033714004
65,1726,0.029075386
66,1340,0.02649145
67,1727,0.02649145
68,1441,0.033578493
69,1728,0.028505042
70,87523,0.026971573
71,1729,0.027709732
72,58104,0.03645259
73,1730,0.02649145
74,1737,0.02649145
75,94391,0.029221006
76,46086,0.04620891
77,1742,0.02649145
78,1591,0.055437677
79,9915,0.06046942
80,1743,0.038695253
81,104276,0.03353316
82,1752,0.033154394
83,40179,0.04257016
84,1758,0.0267683
85,1603,0.02649145
86,1759,0.03125485
87,44423,0.06390887
88,35271,0.032268576
89,1767,0.02649145
90,105361,0.026931608
91,1770,0.02649145
92,58995,0.035577178
93,1771,0.02649145
94,9904,0.044553272
95,1774,0.02649145
96,9734,0.027192496
97,1777,0.02649145
98,35242,0.03504795
99,1784,0.02649145
100,9757,0.032022655
101,1785,0.035193425
102,9844,0.10110793
103,52739,0.060586818
104,9932,0.11471437
105,1787,0.02649145
106,97474,0.8317837
107,52674,0.09327146
108,1790,0.0417353
109,15863,0.07625151
110,1792,0.02649145
111,1944,0.03678163
112,2042,0.034308262
113,1555,0.032550834
114,1793,0.02649145
115,1990,0.03301944
116,1308,0.038056113
117,1798,0.02649145
118,1297,0.04299616
119,1802,0.02649145
120,1932,0.027849805
121,1806,0.02649145
122,15420,0.031117825
123,1807,0.02649145
124,1576,0.04761889
125,1822,0.02649145
126,1501,0.03253022
127,1838,0.026773311
128,50070,0.032242052
129,1328,0.046564296
130,1842,0.02649145
131,1849,0.02649145
132,1862,0.035134204
133,1482,0.03473145
134,1863,0.030292232
135,1358,0.12150382
136,88942,0.041160144
137,1864,0.02649145
138,9816,0.03816046
139,1869,0.02649145
140,1845,0.04347807
141,1870,0.026610997
142,40022,0.039387256
143,1871,0.029649455
144,58933,0.037331395
145,1872,0.02649145
146,58974,0.034966197
147,1874,0.028122257
148,58955,0.033855833
149,1875,0.026698025
150,40131,0.027632296
151,1876,0.027623765
152,1458,0.042911142
153,58944,0.027521387
154,1878,0.02913213
155,35249,0.030750563
156,1881,0.028069539
157,58998,0.037961185
158,1884,0.02649145
159,1885,0.02723138
160,52767,0.040891074
161,1887,0.026934478
162,44434,0.036186203
163,1888,0.029077467
164,44450,0.074244455
165,1889,0.029605176
166,35275,0.05577355
167,1890,0.05349432
168,9738,0.036651045
169,1891,0.02649145
170,35214,0.031333923
171,1893,0.026975699
172,1497,0.030483322
173,1894,0.027688162
174,35254,0.04950603
175,1895,0.029436411
176,9940,0.027148297
177,1896,0.027147572
178,22803,0.3881178
179,22606,0.08368935
180,1898,0.02649145
181,40168,0.0273466
182,1899,0.03470666
183,59692,0.041756965
184,1902,0.02732838
185,105226,0.096985795
186,40156,0.035888486
187,1662,0.034166273
188,1904,0.03403908
189,35178,0.053158253
190,1905,0.027321115
191,35196,0.028659953
192,1906,0.08547353
193,46018,0.06972997
194,59590,0.032502264
195,105224,0.07996435
196,1908,0.02649145
197,44449,0.030447982
198,1910,0.028757492
199,35207,0.027778536
200,1912,0.02649145
201,97323,0.07523285
202,1913,0.028055744
203,52532,0.055630505
204,1329,0.03172949
205,52772,0.05140041
206,1915,0.039428674
207,35308,0.169413
208,1917,0.02649145
209,35238,0.030239988
210,35229,0.027131412
211,1918,0.02649145
212,15324,0.04425087
213,15509,0.03165756
214,1921,0.02649145
215,59583,0.033482388
216,1922,0.033073917
217,1503,0.027025575
218,1478,0.03258211
219,22806,0.029554676
220,1924,0.0322373
221,9998,0.06852823
222,9869,0.06627092
223,35284,0.07094751
224,9926,0.09191796
225,9735,0.044819742
226,1925,0.028950645
227,1471,0.026995145
228,1926,0.02649145
229,9731,0.049295895
230,1927,0.03220599
231,99926,0.054722212
232,35310,0.05507107
233,1928,0.02649145
234,1647,0.026814999
235,1931,0.03847819
236,22585,0.058640175
237,1935,0.035082106
238,49882,0.03511281
239,1943,0.02721677
240,1945,0.030279499
241,1553,0.032579146
242,40024,0.0314352
243,1951,0.02649145
244,44440,0.027254831
245,1954,0.046076596
246,105764,0.04693605
247,1955,0.02728355
248,1959,0.05255597
249,1517,0.063409425
250,1960,0.03521423
251,1964,0.027728284
252,1563,0.054634854
253,40126,0.032741737
254,1965,0.030543407
255,1459,0.028428355
256,1970,0.02817082
257,1975,0.02649145
258,9828,0.053300202
259,1977,0.026517212
260,15394,0.028573312
261,1978,0.02709139
262,88891,0.051247165
263,46066,0.029007467
264,15351,0.07531588
265,1979,0.027792545
266,46019,0.036528945
267,1980,0.0548354
268,58381,0.029118912
269,15450,0.043603085
270,35230,0.034464054
271,1981,0.02649145
272,46100,0.040510714
273,58125,0.035803836
274,1983,0.030856762
275,15504,0.034481972
276,15989,0.026699623
277,1985,0.02649145
278,46035,0.027562512
279,1986,0.026690233
280,58222,0.044006035
281,15308,0.028713182
282,15544,0.02688661
283,1987,0.028700668
284,15342,0.041244857
285,46014,0.042486593
286,1988,0.02649145
287,15754,0.0269971
288,1991,0.03704253
289,1994,0.02649145
290,1575,0.038350828
291,1996,0.02716203
292,1998,0.026843924
293,44366,0.02735089
294,9882,0.07713877
295,2005,0.02649145
296,2006,0.034044884
297,59598,0.07284439
298,2009,0.02934795
299,1651,0.030802106
300,1655,0.029228086
301,2010,0.02649145
302,22864,0.028899452
303,2013,0.026632896
304,1539,0.029943861
305,2014,0.02696409
306,2016,0.02649145
307,2025,0.02649145
308,2026,0.02649145
309,1381,0.027097305
310,2035,0.02649145
311,1562,0.030460123
312,1590,0.035288546
313,2041,0.02649145
314,35218,0.026720148
315,2043,0.02649145
316,58997,0.02769012
317,2046,0.02649145
318,97471,0.23502752
319,22529,0.12172317
320,52684,0.1266782
321,9781,0.06253009
322,22731,0.033292122
323,101342,0.03097639
324,2048,0.02649145
325,52722,0.055431582
326,2049,0.02649145
327,97316,0.04663659
328,2050,0.02649145
329,46055,0.031263363
330,2054,0.02649145
331,61271,0.02649145
332,2059,0.02649145
333,1466,0.031586543
334,35494,0.039211594
335,2061,0.02649145
336,2064,0.02649145
337,23049,0.02732206
338,2067,0.02649145
339,1997,0.031138577
340,2069,0.028701145
341,15393,0.038108423
342,46002,0.055485867
343,2078,0.02649145
344,22789,0.043159336
345,2085,0.02649145
346,58300,0.0347414
347,15816,0.027163895
348,2087,0.028984498
349,15446,0.030236442
350,2089,0.027029958
351,88853,0.066615805
352,2091,0.02649145
353,88974,0.059577763
354,46022,0.05905874
355,2092,0.02649145
356,2093,0.029007886
357,46087,0.038608134
358,2098,0.02649145
359,40013,0.02669537
360,2099,0.02649145
361,2103,0.02649145
362,2106,0.02649145
363,2108,0.02649145
364,40025,0.072758004
365,2133,0.02649145
366,2134,0.02649145
367,1789,0.02770322
368,2135,0.02649145
369,1628,0.02690838
370,2138,0.026866443
371,22536,0.14202262
372,2139,0.02649145
373,58936,0.0306774
374,2148,0.0281023
375,2149,0.026556198
376,22721,0.032942563
377,88982,0.060121737
378,52696,0.037749812
379,2153,0.029392608
380,88988,0.038594425
381,2159,0.02649145
382,88971,0.03429465
383,2160,0.02649145
384,2162,0.027690077
385,35189,0.05326867
386,2168,0.027285326
387,88857,0.030027086
388,2169,0.0275194
389,22960,0.032887664
390,2176,0.02649145
391,15432,0.029917987
392,58198,0.02817646
393,2177,0.02649145
394,46166,0.14967804
395,35382,0.0537052
396,44443,0.02672909
397,35467,0.034912437
398,2179,0.031739563
399,15784,0.10808851
400,2167,0.033017866
401,2180,0.056637235
402,15857,0.1072056
403,46167,0.17272161
404,15392,0.047421984
405,2181,0.02649145
406,2182,0.027927065
407,15384,0.05730161
408,15765,0.026701862
409,22792,0.034418587
410,46024,0.034867942
411,2184,0.026690293
412,10311,0.027959011
413,44516,0.03289972
414,40023,0.02676383
415,2190,0.030171016
416,94398,0.03153042
417,2191,0.02649145
418,1739,0.026611682
419,1357,0.02834723
420,2195,0.03362259
421,1443,0.028921548
422,2197,0.02649145
423,58980,0.036796913
424,2199,0.027539069
425,1724,0.028880417
426,10145,0.07136949
427,2202,0.033385836
428,35386,0.027316565
429,2205,0.02649145
430,1992,0.027316209
431,1572,0.026698578
432,2206,0.02649145
433,2207,0.038022622
434,44524,0.05837106
435,2208,0.026798593
436,49893,0.035594806
437,87471,0.027135063
438,2209,0.02649145
439,2212,0.026617294
440,1326,0.03451509
441,1496,0.043633804
442,2214,0.02668834
443,50112,0.038986772
444,2219,0.02649145
445,1939,0.04115936
446,2221,0.02649145
447,1338,0.026570598
448,2222,0.02730814
449,44515,0.035290837
450,2223,0.0282011
451,2224,0.02914755
452,10077,0.049930327
453,44470,0.04092247
454,2226,0.026617449
455,44476,0.09570886
456,44464,0.04418058
457,1883,0.028952062
458,9733,0.04450383
459,44445,0.032234903
460,2228,0.0463799
461,1593,0.033921797
462,2229,0.02649145
463,44500,0.038752966
